                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                      100                    173.3                    86.36                    43.18                        2         -4.7540769577026
                        0                      100                    173.3                    86.36                    43.18          2.0009000301361         -4.7537431716919
                        0                      100                    173.3                    86.36                    43.18          2.0017998218536         -4.7534327507019
                        0                      100                    173.3                    86.36                    43.18          2.0027000904083         -4.7531509399414
                        0                      100                    173.3                    86.36                    43.18          2.0035998821259         -4.7528915405273
                        0                      100                    173.3                    86.36                    43.18           2.004499912262         -4.7526588439941
                        0                      100                    173.3                    86.36                    43.18          2.0053999423981          -4.752450466156
                        0                      100                    173.3                    86.36                    43.18          2.0062999725342         -4.7522644996643
                        0                      100                    173.3                    86.36                    43.18          2.0072000026703         -4.7521023750305
                        0                      100                    173.3                    86.36                    43.18          2.0080997943878         -4.7519636154175
                        0                      100                    173.3                    86.36                    43.18          2.0089998245239         -4.7518463134766
                        0                      100                    173.3                    86.36                    43.18          2.0099000930786         -4.7517504692078
                        0                      100                    173.3                    86.36                    43.18          2.0107998847961         -4.7516770362854
                        0                      100                    173.3                    86.36                    43.18          2.0116999149323         -4.7516226768494
                        0                      100                    173.3                    86.36                    43.18          2.0125999450684         -4.7515907287598
                        0                      100                    173.3                    86.36                    43.18          2.0134999752045          -4.751576423645
                        0                      100                    173.3                    86.36                    43.18          2.0144000053406         -4.7515816688538
                        0                      100                    173.3                    86.36                    43.18          2.0152997970581          -4.751606464386
                        0                      100                    173.3                    86.36                    43.18          2.0161998271942         -4.7516479492188
                        0                      100                    173.3                    86.36                    43.18          2.0170998573303         -4.7517085075378
                        0                      100                    173.3                    86.36                    43.18          2.0179998874664         -4.7517857551575
                        0                      100                    173.3                    86.36                    43.18          2.0188999176025         -4.7518787384033
                        0                      100                    173.3                    86.36                    43.18          2.0197999477386          -4.751989364624
                        0                      100                    173.3                    86.36                    43.18          2.0206999778748         -4.7521138191223
                        0                      100                    173.3                    86.36                    43.18          2.0216000080109         -4.7522563934326
                        0                      100                    173.3                    86.36                    43.18          2.0224997997284         -4.7524118423462
                        0                      100                    173.3                    86.36                    43.18          2.0233998298645         -4.7525839805603
                        0                      100                    173.3                    86.36                    43.18          2.0242998600006         -4.7527689933777
                        0                      100                    173.3                    86.36                    43.18          2.0251998901367         -4.7529668807983
                        0                      100                    173.3                    86.36                    43.18          2.0260999202728         -4.7531766891479
                        0                      100                    173.3                    86.36                    43.18          2.0269999504089         -4.7534031867981
                        0                      100                    173.3                    86.36                    43.18           2.027899980545         -4.7536416053772
                        0                      100                    173.3                    86.36                    43.18          2.0288000106812         -4.7538871765137
                        0                      100                    173.3                    86.36                    43.18          2.0296998023987         -4.7541470527649
                        0                      100                    173.3                    86.36                    43.18          2.0305998325348         -4.7544188499451
                        0                      100                    173.3                    86.36                    43.18          2.0314998626709         -4.7547001838684
                        0                      100                    173.3                    86.36                    43.18           2.032399892807         -4.7549924850464
                        0                      100                    173.3                    86.36                    43.18          2.0332999229431         -4.7552933692932
                        0                      100                    173.3                    86.36                    43.18          2.0341999530792         -4.7556052207947
                        0                      100                    173.3                    86.36                    43.18          2.0350999832153          -4.755925655365
                        0                      100                    173.3                    86.36                    43.18          2.0360000133514         -4.7562532424927
                        0                      100                    173.3                    86.36                    43.18           2.036899805069          -4.756591796875
                        0                      100                    173.3                    86.36                    43.18          2.0377998352051         -4.7569351196289
                        0                      100                    173.3                    86.36                    43.18          2.0386998653412         -4.7572889328003
                        0                      100                    173.3                    86.36                    43.18          2.0395998954773         -4.7576484680176
                        0                      100                    173.3                    86.36                    43.18          2.0404999256134         -4.7580156326294
                        0                      100                    173.3                    86.36                    43.18          2.0413999557495         -4.7583894729614
                        0                      100                    173.3                    86.36                    43.18          2.0422999858856         -4.7587690353394
                        0                      100                    173.3                    86.36                    43.18          2.0432000160217         -4.7591557502747
                        0                      100                    173.3                    86.36                    43.18          2.0440998077393         -4.7595453262329
