                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                    173.3                    86.36                    43.18                        2        -0.11894705891609
                        0                    173.3                    86.36                    43.18          2.0009000301361         -0.1181550770998
                        0                    173.3                    86.36                    43.18          2.0017998218536        -0.11736212670803
                        0                    173.3                    86.36                    43.18          2.0027000904083        -0.11656925082207
                        0                    173.3                    86.36                    43.18          2.0035998821259        -0.11577696353197
                        0                    173.3                    86.36                    43.18           2.004499912262        -0.11498738080263
                        0                    173.3                    86.36                    43.18          2.0053999423981        -0.11419891566038
                        0                    173.3                    86.36                    43.18          2.0062999725342        -0.11340998858213
                        0                    173.3                    86.36                    43.18          2.0072000026703        -0.11262271553278
                        0                    173.3                    86.36                    43.18          2.0080997943878        -0.11183603852987
                        0                    173.3                    86.36                    43.18          2.0089998245239        -0.11105258017778
                        0                    173.3                    86.36                    43.18          2.0099000930786        -0.11027076095343
                        0                    173.3                    86.36                    43.18          2.0107998847961        -0.10948902368546
                        0                    173.3                    86.36                    43.18          2.0116999149323        -0.10870996117592
                        0                    173.3                    86.36                    43.18          2.0125999450684        -0.10793306678534
                        0                    173.3                    86.36                    43.18          2.0134999752045        -0.10715939849615
                        0                    173.3                    86.36                    43.18          2.0144000053406        -0.10638684034348
                        0                    173.3                    86.36                    43.18          2.0152997970581        -0.10561592876911
                        0                    173.3                    86.36                    43.18          2.0161998271942        -0.10484717786312
                        0                    173.3                    86.36                    43.18          2.0170998573303        -0.10408215969801
                        0                    173.3                    86.36                    43.18          2.0179998874664        -0.10331878066063
                        0                    173.3                    86.36                    43.18          2.0188999176025         -0.1025575697422
                        0                    173.3                    86.36                    43.18          2.0197999477386        -0.10180112719536
                        0                    173.3                    86.36                    43.18          2.0206999778748        -0.10104581713676
                        0                    173.3                    86.36                    43.18          2.0216000080109        -0.10029421746731
                        0                    173.3                    86.36                    43.18          2.0224997997284       -0.099544793367386
                        0                    173.3                    86.36                    43.18          2.0233998298645       -0.098799102008343
                        0                    173.3                    86.36                    43.18          2.0242998600006       -0.098056085407734
                        0                    173.3                    86.36                    43.18          2.0251998901367       -0.097317323088646
                        0                    173.3                    86.36                    43.18          2.0260999202728        -0.09658071398735
