                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                        0                    173.3                    86.36                    43.18                        2         0.22410286962986
                        0                        0                    173.3                    86.36                    43.18          2.0009000301361         0.22277684509754
                        0                        0                    173.3                    86.36                    43.18          2.0017998218536         0.22146375477314
                        0                        0                    173.3                    86.36                    43.18          2.0027000904083         0.22016055881977
                        0                        0                    173.3                    86.36                    43.18          2.0035998821259          0.2188682705164
                        0                        0                    173.3                    86.36                    43.18           2.004499912262         0.21758489310741
                        0                        0                    173.3                    86.36                    43.18          2.0053999423981         0.21631443500519
                        0                        0                    173.3                    86.36                    43.18          2.0062999725342         0.21504986286163
                        0                        0                    173.3                    86.36                    43.18          2.0072000026703         0.21379722654819
                        0                        0                    173.3                    86.36                    43.18          2.0080997943878         0.21255148947239
                        0                        0                    173.3                    86.36                    43.18          2.0089998245239         0.21131667494774
                        0                        0                    173.3                    86.36                    43.18          2.0099000930786         0.21009078621864
                        0                        0                    173.3                    86.36                    43.18          2.0107998847961         0.20887181162834
                        0                        0                    173.3                    86.36                    43.18          2.0116999149323         0.20766174793243
                        0                        0                    173.3                    86.36                    43.18          2.0125999450684         0.20645759999752
                        0                        0                    173.3                    86.36                    43.18          2.0134999752045         0.20526337623596
                        0                        0                    173.3                    86.36                    43.18          2.0144000053406          0.2040750682354
                        0                        0                    173.3                    86.36                    43.18          2.0152997970581         0.20289570093155
                        0                        0                    173.3                    86.36                    43.18          2.0161998271942         0.20172326266766
                        0                        0                    173.3                    86.36                    43.18          2.0170998573303         0.20055471360683
                        0                        0                    173.3                    86.36                    43.18          2.0179998874664         0.19939510524273
                        0                        0                    173.3                    86.36                    43.18          2.0188999176025         0.19824242591858
                        0                        0                    173.3                    86.36                    43.18          2.0197999477386         0.19709566235542
                        0                        0                    173.3                    86.36                    43.18          2.0206999778748         0.19595383107662
                        0                        0                    173.3                    86.36                    43.18          2.0216000080109         0.19481891393661
                        0                        0                    173.3                    86.36                    43.18          2.0224997997284         0.19369095563889
                        0                        0                    173.3                    86.36                    43.18          2.0233998298645         0.19256688654423
                        0                        0                    173.3                    86.36                    43.18          2.0242998600006         0.19144876301289
                        0                        0                    173.3                    86.36                    43.18          2.0251998901367         0.19033554196358
                        0                        0                    173.3                    86.36                    43.18          2.0260999202728         0.18922826647758
                        0                        0                    173.3                    86.36                    43.18          2.0269999504089         0.18812490999699
                        0                        0                    173.3                    86.36                    43.18           2.027899980545         0.18702647089958
                        0                        0                    173.3                    86.36                    43.18          2.0288000106812         0.18593296408653
                        0                        0                    173.3                    86.36                    43.18          2.0296998023987          0.1848454028368
                        0                        0                    173.3                    86.36                    43.18          2.0305998325348         0.18375971913338
                        0                        0                    173.3                    86.36                    43.18          2.0314998626709         0.18268100917339
                        0                        0                    173.3                    86.36                    43.18           2.032399892807         0.18160419166088
                        0                        0                    173.3                    86.36                    43.18          2.0332999229431         0.18053331971169
                        0                        0                    173.3                    86.36                    43.18          2.0341999530792         0.17946437001228
                        0                        0                    173.3                    86.36                    43.18          2.0350999832153         0.17840033769608
                        0                        0                    173.3                    86.36                    43.18          2.0360000133514         0.17734022438526
                        0                        0                    173.3                    86.36                    43.18           2.036899805069          0.1762820482254
                        0                        0                    173.3                    86.36                    43.18          2.0377998352051         0.17522978782654
                        0                        0                    173.3                    86.36                    43.18          2.0386998653412         0.17418047785759
                        0                        0                    173.3                    86.36                    43.18          2.0395998954773         0.17313203215599
                        0                        0                    173.3                    86.36                    43.18          2.0404999256134         0.17208853363991
                        0                        0                    173.3                    86.36                    43.18          2.0413999557495          0.1710489988327
                        0                        0                    173.3                    86.36                    43.18          2.0422999858856         0.17001032829285
                        0                        0                    173.3                    86.36                    43.18          2.0432000160217         0.16897661983967
                        0                        0                    173.3                    86.36                    43.18          2.0440998077393         0.16794382035732
                        0                        0                    173.3                    86.36                    43.18          2.0449998378754         0.16691595315933
                        0                        0                    173.3                    86.36                    43.18          2.0458998680115         0.16588898003101
                        0                        0                    173.3                    86.36                    43.18          2.0467998981476         0.16486392915249
                        0                        0                    173.3                    86.36                    43.18          2.0476999282837         0.16384384036064
                        0                        0                    173.3                    86.36                    43.18          2.0485999584198          0.1628246307373
                        0                        0                    173.3                    86.36                    43.18          2.0494999885559         0.16180837154388
                        0                        0                    173.3                    86.36                    43.18           2.050400018692          0.1607940196991
                        0                        0                    173.3                    86.36                    43.18          2.0512998104095         0.15978157520294
                        0                        0                    173.3                    86.36                    43.18          2.0521998405457          0.1587720811367
                        0                        0                    173.3                    86.36                    43.18          2.0530998706818         0.15776345133781
                        0                        0                    173.3                    86.36                    43.18          2.0539999008179         0.15675780177116
                        0                        0                    173.3                    86.36                    43.18           2.054899930954         0.15575301647186
                        0                        0                    173.3                    86.36                    43.18          2.0557999610901         0.15475219488144
                        0                        0                    173.3                    86.36                    43.18          2.0566999912262         0.15375226736069
                        0                        0                    173.3                    86.36                    43.18          2.0576000213623         0.15275427699089
                        0                        0                    173.3                    86.36                    43.18          2.0584998130798          0.1517571657896
                        0                        0                    173.3                    86.36                    43.18          2.0593998432159         0.15076300501823
                        0                        0                    173.3                    86.36                    43.18          2.0602998733521          0.1497697532177
                        0                        0                    173.3                    86.36                    43.18          2.0611999034882         0.14877739548683
                        0                        0                    173.3                    86.36                    43.18          2.0620999336243         0.14778798818588
                        0                        0                    173.3                    86.36                    43.18          2.0629999637604         0.14680050313473
                        0                        0                    173.3                    86.36                    43.18          2.0638999938965         0.14581291377544
                        0                        0                    173.3                    86.36                    43.18          2.0648000240326         0.14482723176479
                        0                        0                    173.3                    86.36                    43.18          2.0656998157501         0.14384245872498
                        0                        0                    173.3                    86.36                    43.18          2.0665998458862         0.14286063611507
                        0                        0                    173.3                    86.36                    43.18          2.0674998760223         0.14188075065613
                        0                        0                    173.3                    86.36                    43.18          2.0683999061584         0.14089868962765
                        0                        0                    173.3                    86.36                    43.18          2.0692999362946         0.13992163538933
                        0                        0                    173.3                    86.36                    43.18          2.0701999664307         0.13894446194172
                        0                        0                    173.3                    86.36                    43.18          2.0710999965668         0.13796819746494
                        0                        0                    173.3                    86.36                    43.18          2.0720000267029         0.13699182868004
                        0                        0                    173.3                    86.36                    43.18          2.0728998184204         0.13601942360401
                        0                        0                    173.3                    86.36                    43.18          2.0737998485565         0.13504791259766
                        0                        0                    173.3                    86.36                    43.18          2.0746998786926         0.13407734036446
                        0                        0                    173.3                    86.36                    43.18          2.0755999088287         0.13310664892197
                        0                        0                    173.3                    86.36                    43.18          2.0764999389648         0.13213787972927
                        0                        0                    173.3                    86.36                    43.18           2.077399969101         0.13116902112961
                        0                        0                    173.3                    86.36                    43.18          2.0782999992371          0.1302030980587
                        0                        0                    173.3                    86.36                    43.18          2.0792000293732         0.12923707067966
                        0                        0                    173.3                    86.36                    43.18          2.0800998210907         0.12827298045158
                        0                        0                    173.3                    86.36                    43.18          2.0809998512268         0.12730979919434
