                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                      100                    173.3                    86.36                    43.18                        2         -6.4140815734863
                        0                      100                    173.3                    86.36                    43.18          2.0009000301361         -6.4185724258423
                        0                      100                    173.3                    86.36                    43.18          2.0017998218536         -6.4230480194092
                        0                      100                    173.3                    86.36                    43.18          2.0027000904083          -6.427508354187
                        0                      100                    173.3                    86.36                    43.18          2.0035998821259          -6.431957244873
                        0                      100                    173.3                    86.36                    43.18           2.004499912262         -6.4363899230957
                        0                      100                    173.3                    86.36                    43.18          2.0053999423981         -6.4408087730408
                        0                      100                    173.3                    86.36                    43.18          2.0062999725342         -6.4452118873596
                        0                      100                    173.3                    86.36                    43.18          2.0072000026703         -6.4496011734009
                        0                      100                    173.3                    86.36                    43.18          2.0080997943878         -6.4539761543274
                        0                      100                    173.3                    86.36                    43.18          2.0089998245239         -6.4583368301392
                        0                      100                    173.3                    86.36                    43.18          2.0099000930786         -6.4626817703247
                        0                      100                    173.3                    86.36                    43.18          2.0107998847961         -6.4670114517212
                        0                      100                    173.3                    86.36                    43.18          2.0116999149323         -6.4713258743286
                        0                      100                    173.3                    86.36                    43.18          2.0125999450684         -6.4756255149841
                        0                      100                    173.3                    86.36                    43.18          2.0134999752045         -6.4799098968506
                        0                      100                    173.3                    86.36                    43.18          2.0144000053406         -6.4841785430908
                        0                      100                    173.3                    86.36                    43.18          2.0152997970581         -6.4884309768677
                        0                      100                    173.3                    86.36                    43.18          2.0161998271942          -6.492666721344
                        0                      100                    173.3                    86.36                    43.18          2.0170998573303         -6.4968862533569
                        0                      100                    173.3                    86.36                    43.18          2.0179998874664          -6.501088142395
                        0                      100                    173.3                    86.36                    43.18          2.0188999176025         -6.5052728652954
                        0                      100                    173.3                    86.36                    43.18          2.0197999477386         -6.5094394683838
                        0                      100                    173.3                    86.36                    43.18          2.0206999778748         -6.5135898590088
                        0                      100                    173.3                    86.36                    43.18          2.0216000080109         -6.5177206993103
                        0                      100                    173.3                    86.36                    43.18          2.0224997997284         -6.5218334197998
                        0                      100                    173.3                    86.36                    43.18          2.0233998298645         -6.5259294509888
                        0                      100                    173.3                    86.36                    43.18          2.0242998600006         -6.5300040245056
                        0                      100                    173.3                    86.36                    43.18          2.0251998901367         -6.5340585708618
                        0                      100                    173.3                    86.36                    43.18          2.0260999202728         -6.5380935668945
                        0                      100                    173.3                    86.36                    43.18          2.0269999504089         -6.5421075820923
                        0                      100                    173.3                    86.36                    43.18           2.027899980545         -6.5461025238037
                        0                      100                    173.3                    86.36                    43.18          2.0288000106812         -6.5500741004944
                        0                      100                    173.3                    86.36                    43.18          2.0296998023987         -6.5540261268616
                        0                      100                    173.3                    86.36                    43.18          2.0305998325348          -6.557954788208
                        0                      100                    173.3                    86.36                    43.18          2.0314998626709          -6.561861038208
                        0                      100                    173.3                    86.36                    43.18           2.032399892807         -6.5657444000244
                        0                      100                    173.3                    86.36                    43.18          2.0332999229431         -6.5696039199829
                        0                      100                    173.3                    86.36                    43.18          2.0341999530792         -6.5734415054321
                        0                      100                    173.3                    86.36                    43.18          2.0350999832153         -6.5772533416748
                        0                      100                    173.3                    86.36                    43.18          2.0360000133514         -6.5810399055481
                        0                      100                    173.3                    86.36                    43.18           2.036899805069         -6.5848035812378
                        0                      100                    173.3                    86.36                    43.18          2.0377998352051         -6.5885419845581
                        0                      100                    173.3                    86.36                    43.18          2.0386998653412         -6.5922536849976
                        0                      100                    173.3                    86.36                    43.18          2.0395998954773         -6.5959401130676
                        0                      100                    173.3                    86.36                    43.18          2.0404999256134         -6.5995979309082
                        0                      100                    173.3                    86.36                    43.18          2.0413999557495         -6.6032290458679
                        0                      100                    173.3                    86.36                    43.18          2.0422999858856         -6.6068344116211
                        0                      100                    173.3                    86.36                    43.18          2.0432000160217         -6.6104106903076
                        0                      100                    173.3                    86.36                    43.18          2.0440998077393         -6.6139612197876
                        0                      100                    173.3                    86.36                    43.18          2.0449998378754          -6.617479801178
                        0                      100                    173.3                    86.36                    43.18          2.0458998680115         -6.6209716796875
                        0                      100                    173.3                    86.36                    43.18          2.0467998981476         -6.6244359016418
                        0                      100                    173.3                    86.36                    43.18          2.0476999282837         -6.6278696060181
                        0                      100                    173.3                    86.36                    43.18          2.0485999584198         -6.6312718391418
                        0                      100                    173.3                    86.36                    43.18          2.0494999885559         -6.6346459388733
                        0                      100                    173.3                    86.36                    43.18           2.050400018692         -6.6379890441895
                        0                      100                    173.3                    86.36                    43.18          2.0512998104095         -6.6413016319275
                        0                      100                    173.3                    86.36                    43.18          2.0521998405457         -6.6445832252502
                        0                      100                    173.3                    86.36                    43.18          2.0530998706818         -6.6478352546692
                        0                      100                    173.3                    86.36                    43.18          2.0539999008179         -6.6510539054871
                        0                      100                    173.3                    86.36                    43.18           2.054899930954         -6.6542429924011
                        0                      100                    173.3                    86.36                    43.18          2.0557999610901         -6.6573991775513
                        0                      100                    173.3                    86.36                    43.18          2.0566999912262         -6.6605234146118
                        0                      100                    173.3                    86.36                    43.18          2.0576000213623         -6.6636152267456
                        0                      100                    173.3                    86.36                    43.18          2.0584998130798          -6.666675567627
                        0                      100                    173.3                    86.36                    43.18          2.0593998432159         -6.6697034835815
                        0                      100                    173.3                    86.36                    43.18          2.0602998733521         -6.6726999282837
                        0                      100                    173.3                    86.36                    43.18          2.0611999034882         -6.6756625175476
                        0                      100                    173.3                    86.36                    43.18          2.0620999336243         -6.6785926818848
                        0                      100                    173.3                    86.36                    43.18          2.0629999637604         -6.6814918518066
                        0                      100                    173.3                    86.36                    43.18          2.0638999938965         -6.6843557357788
                        0                      100                    173.3                    86.36                    43.18          2.0648000240326         -6.6871891021729
                        0                      100                    173.3                    86.36                    43.18          2.0656998157501          -6.689989566803
                        0                      100                    173.3                    86.36                    43.18          2.0665998458862         -6.6927576065063
                        0                      100                    173.3                    86.36                    43.18          2.0674998760223         -6.6954917907715
                        0                      100                    173.3                    86.36                    43.18          2.0683999061584          -6.698194026947
                        0                      100                    173.3                    86.36                    43.18          2.0692999362946         -6.7008647918701
                        0                      100                    173.3                    86.36                    43.18          2.0701999664307         -6.7035026550293
                        0                      100                    173.3                    86.36                    43.18          2.0710999965668         -6.7061085700989
                        0                      100                    173.3                    86.36                    43.18          2.0720000267029         -6.7086820602417
                        0                      100                    173.3                    86.36                    43.18          2.0728998184204         -6.7112250328064
                        0                      100                    173.3                    86.36                    43.18          2.0737998485565         -6.7137355804443
                        0                      100                    173.3                    86.36                    43.18          2.0746998786926          -6.716215133667
                        0                      100                    173.3                    86.36                    43.18          2.0755999088287         -6.7186646461487
                        0                      100                    173.3                    86.36                    43.18          2.0764999389648         -6.7210817337036
                        0                      100                    173.3                    86.36                    43.18           2.077399969101         -6.7234687805176
                        0                      100                    173.3                    86.36                    43.18          2.0782999992371         -6.7258267402649
                        0                      100                    173.3                    86.36                    43.18          2.0792000293732         -6.7281527519226
                        0                      100                    173.3                    86.36                    43.18          2.0800998210907         -6.7304515838623
                        0                      100                    173.3                    86.36                    43.18          2.0809998512268         -6.7327218055725
                        0                      100                    173.3                    86.36                    43.18          2.0818998813629         -6.7349615097046
                        0                      100                    173.3                    86.36                    43.18           2.082799911499         -6.7371730804443
                        0                      100                    173.3                    86.36                    43.18          2.0836999416351         -6.7393560409546
                        0                      100                    173.3                    86.36                    43.18          2.0845999717712         -6.7415146827698
                        0                      100                    173.3                    86.36                    43.18          2.0855000019073         -6.7436461448669
                        0                      100                    173.3                    86.36                    43.18          2.0864000320435         -6.7457489967346
                        0                      100                    173.3                    86.36                    43.18           2.087299823761         -6.7478280067444
                        0                      100                    173.3                    86.36                    43.18          2.0881998538971         -6.7498817443848
                        0                      100                    173.3                    86.36                    43.18          2.0890998840332         -6.7519111633301
                        0                      100                    173.3                    86.36                    43.18          2.0899999141693         -6.7539167404175
                        0                      100                    173.3                    86.36                    43.18          2.0908999443054         -6.7558965682983
                        0                      100                    173.3                    86.36                    43.18          2.0917999744415         -6.7578558921814
                        0                      100                    173.3                    86.36                    43.18          2.0927000045776         -6.7597942352295
                        0                      100                    173.3                    86.36                    43.18          2.0936000347137         -6.7617092132568
                        0                      100                    173.3                    86.36                    43.18          2.0944998264313         -6.7636041641235
                        0                      100                    173.3                    86.36                    43.18          2.0953998565674         -6.7654790878296
                        0                      100                    173.3                    86.36                    43.18          2.0962998867035         -6.7673358917236
                        0                      100                    173.3                    86.36                    43.18          2.0971999168396          -6.769172668457
                        0                      100                    173.3                    86.36                    43.18          2.0980999469757         -6.7709903717041
                        0                      100                    173.3                    86.36                    43.18          2.0989999771118         -6.7727947235107
                        0                      100                    173.3                    86.36                    43.18          2.0999000072479         -6.7745819091797
                        0                      100                    173.3                    86.36                    43.18           2.100800037384         -6.7763524055481
                        0                      100                    173.3                    86.36                    43.18          2.1016998291016         -6.7781105041504
                        0                      100                    173.3                    86.36                    43.18          2.1025998592377         -6.7798538208008
                        0                      100                    173.3                    86.36                    43.18          2.1034998893738         -6.7815833091736
                        0                      100                    173.3                    86.36                    43.18          2.1043999195099         -6.7833018302917
                        0                      100                    173.3                    86.36                    43.18           2.105299949646         -6.7850089073181
                        0                      100                    173.3                    86.36                    43.18          2.1061999797821         -6.7867064476013
                        0                      100                    173.3                    86.36                    43.18          2.1071000099182         -6.7883944511414
