        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                       1                      -53.473482
               1.0039999                      -54.397732
                   1.008                      -56.042295
                   1.012                      -60.411396
               1.0159999                      -55.526102
                    1.02                      -54.137946
               1.0239999                      -53.297696
                   1.028                      -52.693306
               1.0319999                      -52.220994
                   1.036                      -51.833211
                    1.04                      -51.504123
                   1.044                      -51.218083
                   1.048                      -50.964856
               1.0519999                      -50.737362
                   1.056                      -50.530487
               1.0599999                      -50.340401
                   1.064                      -50.164177
                   1.068                      -49.999527
                   1.072                      -49.844649
                   1.076                      -49.698101
               1.0799999                      -49.558753
                   1.084                      -49.425699
               1.0879999                      -49.298237
                   1.092                      -49.175826
                   1.096                      -49.058052
                     1.1                      -48.944607
                   1.104                      -48.835267
               1.1079999                      -48.729863
                   1.112                      -48.628261
               1.1159999                      -48.530345
                    1.12                         -48.436
                   1.124                      -48.345095
                   1.128                       -48.25747
                   1.132                      -48.172927
               1.1359999                      -48.091229
                    1.14                      -48.012085
               1.1439999                      -47.935168
                   1.148                      -47.860109
                   1.152                      -47.786512
                   1.156                      -47.713963
                    1.16                      -47.642047
               1.1639999                      -47.570368
                   1.168                      -47.498563
               1.1719999                      -47.426321
                   1.176                      -47.353404
               1.1799999                      -47.279654
                   1.184                      -47.205006
                   1.188                      -47.129493
               1.1919999                      -47.053249
                   1.196                       -46.97649
               1.1999999                      -46.899513
                   1.204                      -46.822673
               1.2079999                      -46.746361
                   1.212                      -46.670986
                   1.216                      -46.596938
               1.2199999                      -46.524568
                   1.224                      -46.454162
               1.2279999                      -46.385917
                   1.232                      -46.319921
               1.2359999                      -46.256142
                    1.24                      -46.194413
                   1.244                       -46.13444
               1.2479999                      -46.075796
                   1.252                      -46.017947
               1.2559999                       -45.96026
                    1.26                      -45.902046
               1.2639999                      -45.842586
                   1.268                      -45.781175
                   1.272                      -45.717168
                   1.276                      -45.650027
                    1.28                      -45.579353
               1.2839999                       -45.50493
                   1.288                      -45.426742
               1.2919999                      -45.344994
                   1.296                      -45.260095
                     1.3                      -45.172654
                   1.304                      -45.083443
                   1.308                      -44.993354
               1.3119999                      -44.903353
                   1.316                      -44.814418
               1.3199999                      -44.727484
                   1.324                      -44.643388
               1.3279999                      -44.562813
                   1.332                      -44.486236
                   1.336                        -44.4139
               1.3399999                      -44.345764
                   1.344                      -44.281506
               1.3479999                      -44.220494
                   1.352                      -44.161805
               1.3559999                      -44.104251
                    1.36                      -44.046418
                   1.364                      -43.986735
               1.3679999                       -43.92355
                   1.372                      -43.855251
               1.3759999                      -43.780362
                    1.38                      -43.697664
               1.3839999                      -43.606313
                   1.388                      -43.505921
                   1.392                      -43.396613
               1.3959999                      -43.279057
                     1.4                      -43.154418
               1.4039999                      -43.024319
                   1.408                      -42.890732
               1.4119999                      -42.755855
                   1.416                       -42.62199
                    1.42                      -42.491404
               1.4239999                       -42.36621
                   1.428                      -42.248234
               1.4319999                       -42.13893
                   1.436                      -42.039283
               1.4399999                       -41.94972
                   1.444                      -41.870054
                   1.448                      -41.799423
               1.4519999                      -41.736244
                   1.456                      -41.678218
               1.4599999                      -41.622344
                   1.464                      -41.564998
               1.4679999                       -41.50209
                   1.472                      -41.429287
                   1.476                      -41.342331
               1.4799999                      -41.237409
                   1.484                      -41.111555
               1.4879999                      -40.963005
                   1.492                      -40.791466
               1.4959999                      -40.598231
                     1.5                      -40.386101
               1.5039999                      -40.159179
                   1.508                      -39.922519
                   1.512                      -39.681742
               1.5159999                       -39.44265
                    1.52                      -39.210891
               1.5239999                      -38.991697
                   1.528                      -38.789675
               1.5319999                       -38.60867
                   1.536                      -38.451629
                    1.54                      -38.320489
               1.5439999                      -38.216025
                   1.548                      -38.137658
               1.5519999                      -38.083194
                   1.556                      -38.048517
               1.5599999                      -38.027227
                   1.564                      -38.010335
                   1.568                      -37.986122
               1.5719999                      -37.940398
                   1.576                      -37.857392
               1.5799999                       -37.72144
                   1.584                      -37.519398
               1.5879999                        -37.2432
                   1.592                      -36.891769
                   1.596                       -36.47147
               1.5999999                      -35.994928
                   1.604                      -35.478752
               1.6079999                      -34.941002
