                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                        0                    173.3                    86.36                    43.18                        2       -0.091479055583477
                        0                        0                    173.3                    86.36                    43.18          2.0009000301361       -0.090628892183304
                        0                        0                    173.3                    86.36                    43.18          2.0017998218536       -0.089781954884529
                        0                        0                    173.3                    86.36                    43.18          2.0027000904083       -0.088938243687153
                        0                        0                    173.3                    86.36                    43.18          2.0035998821259        -0.08809670060873
                        0                        0                    173.3                    86.36                    43.18           2.004499912262       -0.087259940803051
                        0                        0                    173.3                    86.36                    43.18          2.0053999423981       -0.086425356566906
                        0                        0                    173.3                    86.36                    43.18          2.0062999725342       -0.085593469440937
                        0                        0                    173.3                    86.36                    43.18          2.0072000026703       -0.084765322506428
                        0                        0                    173.3                    86.36                    43.18          2.0080997943878        -0.08394143730402
                        0                        0                    173.3                    86.36                    43.18          2.0089998245239       -0.083119712769985
                        0                        0                    173.3                    86.36                    43.18          2.0099000930786       -0.082303293049335
                        0                        0                    173.3                    86.36                    43.18          2.0107998847961       -0.081489570438862
                        0                        0                    173.3                    86.36                    43.18          2.0116999149323       -0.080682195723057
                        0                        0                    173.3                    86.36                    43.18          2.0125999450684       -0.079875931143761
                        0                        0                    173.3                    86.36                    43.18          2.0134999752045       -0.079074457287788
                        0                        0                    173.3                    86.36                    43.18          2.0144000053406       -0.078278787434101
                        0                        0                    173.3                    86.36                    43.18          2.0152997970581        -0.07748581469059
                        0                        0                    173.3                    86.36                    43.18          2.0161998271942       -0.076697610318661
                        0                        0                    173.3                    86.36                    43.18          2.0170998573303       -0.075912095606327
                        0                        0                    173.3                    86.36                    43.18          2.0179998874664       -0.075132913887501
                        0                        0                    173.3                    86.36                    43.18          2.0188999176025       -0.074358500540257
                        0                        0                    173.3                    86.36                    43.18          2.0197999477386       -0.073588326573372
                        0                        0                    173.3                    86.36                    43.18          2.0206999778748       -0.072822406888008
                        0                        0                    173.3                    86.36                    43.18          2.0216000080109       -0.072060205042362
                        0                        0                    173.3                    86.36                    43.18          2.0224997997284       -0.071304857730865
                        0                        0                    173.3                    86.36                    43.18          2.0233998298645       -0.070551663637161
                        0                        0                    173.3                    86.36                    43.18          2.0242998600006       -0.069805316627026
                        0                        0                    173.3                    86.36                    43.18          2.0251998901367       -0.069064781069756
                        0                        0                    173.3                    86.36                    43.18          2.0260999202728       -0.068327434360981
                        0                        0                    173.3                    86.36                    43.18          2.0269999504089       -0.067594319581985
                        0                        0                    173.3                    86.36                    43.18           2.027899980545       -0.066868580877781
                        0                        0                    173.3                    86.36                    43.18          2.0288000106812       -0.066147066652775
                        0                        0                    173.3                    86.36                    43.18          2.0296998023987       -0.065430834889412
                        0                        0                    173.3                    86.36                    43.18          2.0305998325348        -0.06471935659647
                        0                        0                    173.3                    86.36                    43.18          2.0314998626709        -0.06401315331459
                        0                        0                    173.3                    86.36                    43.18           2.032399892807       -0.063312739133835
                        0                        0                    173.3                    86.36                    43.18          2.0332999229431       -0.062617599964142
                        0                        0                    173.3                    86.36                    43.18          2.0341999530792       -0.061927728354931
                        0                        0                    173.3                    86.36                    43.18          2.0350999832153       -0.061243645846844
                        0                        0                    173.3                    86.36                    43.18          2.0360000133514       -0.060562748461962
                        0                        0                    173.3                    86.36                    43.18           2.036899805069       -0.059890244156122
                        0                        0                    173.3                    86.36                    43.18          2.0377998352051       -0.059221439063549
                        0                        0                    173.3                    86.36                    43.18          2.0386998653412       -0.058557376265526
                        0                        0                    173.3                    86.36                    43.18          2.0395998954773       -0.057901706546545
                        0                        0                    173.3                    86.36                    43.18          2.0404999256134       -0.057249210774899
                        0                        0                    173.3                    86.36                    43.18          2.0413999557495       -0.056603536009789
                        0                        0                    173.3                    86.36                    43.18          2.0422999858856       -0.055963128805161
                        0                        0                    173.3                    86.36                    43.18          2.0432000160217       -0.055327970534563
                        0                        0                    173.3                    86.36                    43.18          2.0440998077393        -0.05469911172986
                        0                        0                    173.3                    86.36                    43.18          2.0449998378754        -0.05407603085041
                        0                        0                    173.3                    86.36                    43.18          2.0458998680115       -0.053456120193005
                        0                        0                    173.3                    86.36                    43.18          2.0467998981476       -0.052843540906906
                        0                        0                    173.3                    86.36                    43.18          2.0476999282837       -0.052238300442696
                        0                        0                    173.3                    86.36                    43.18          2.0485999584198       -0.051636230200529
                        0                        0                    173.3                    86.36                    43.18          2.0494999885559       -0.051042530685663
                        0                        0                    173.3                    86.36                    43.18           2.050400018692       -0.050451997667551
                        0                        0                    173.3                    86.36                    43.18          2.0512998104095       -0.049867227673531
                        0                        0                    173.3                    86.36                    43.18          2.0521998405457        -0.04929031431675
                        0                        0                    173.3                    86.36                    43.18          2.0530998706818       -0.048717599362135
                        0                        0                    173.3                    86.36                    43.18          2.0539999008179       -0.048152733594179
                        0                        0                    173.3                    86.36                    43.18           2.054899930954       -0.047591026872396
                        0                        0                    173.3                    86.36                    43.18          2.0557999610901       -0.047036126255989
                        0                        0                    173.3                    86.36                    43.18          2.0566999912262       -0.046486981213093
                        0                        0                    173.3                    86.36                    43.18          2.0576000213623       -0.045943077653646
                        0                        0                    173.3                    86.36                    43.18          2.0584998130798        -0.04540441557765
                        0                        0                    173.3                    86.36                    43.18          2.0593998432159       -0.044872544705868
                        0                        0                    173.3                    86.36                    43.18          2.0602998733521       -0.044347479939461
                        0                        0                    173.3                    86.36                    43.18          2.0611999034882       -0.043825566768646
                        0                        0                    173.3                    86.36                    43.18          2.0620999336243       -0.043311487883329
                        0                        0                    173.3                    86.36                    43.18          2.0629999637604       -0.042802639305592
                        0                        0                    173.3                    86.36                    43.18          2.0638999938965       -0.042298506945372
                        0                        0                    173.3                    86.36                    43.18          2.0648000240326       -0.041801165789366
                        0                        0                    173.3                    86.36                    43.18          2.0656998157501       -0.041310094296932
                        0                        0                    173.3                    86.36                    43.18          2.0665998458862       -0.040824770927429
                        0                        0                    173.3                    86.36                    43.18          2.0674998760223       -0.040343642234802
                        0                        0                    173.3                    86.36                    43.18          2.0683999061584       -0.039869293570518
                        0                        0                    173.3                    86.36                    43.18          2.0692999362946       -0.039401218295097
                        0                        0                    173.3                    86.36                    43.18          2.0701999664307       -0.038935761898756
                        0                        0                    173.3                    86.36                    43.18          2.0710999965668       -0.038479175418615
                        0                        0                    173.3                    86.36                    43.18          2.0720000267029       -0.038028851151466
                        0                        0                    173.3                    86.36                    43.18          2.0728998184204       -0.037581671029329
                        0                        0                    173.3                    86.36                    43.18          2.0737998485565       -0.037141270935535
                        0                        0                    173.3                    86.36                    43.18          2.0746998786926        -0.03670609742403
                        0                        0                    173.3                    86.36                    43.18          2.0755999088287        -0.03627821803093
                        0                        0                    173.3                    86.36                    43.18          2.0764999389648       -0.035853482782841
                        0                        0                    173.3                    86.36                    43.18           2.077399969101       -0.035436045378447
                        0                        0                    173.3                    86.36                    43.18          2.0782999992371       -0.035023301839828
                        0                        0                    173.3                    86.36                    43.18          2.0792000293732       -0.034616820514202
                        0                        0                    173.3                    86.36                    43.18          2.0800998210907       -0.034215554594994
                        0                        0                    173.3                    86.36                    43.18          2.0809998512268       -0.033820025622845
                        0                        0                    173.3                    86.36                    43.18          2.0818998813629       -0.033429186791182
                        0                        0                    173.3                    86.36                    43.18           2.082799911499       -0.033043570816517
                        0                        0                    173.3                    86.36                    43.18          2.0836999416351       -0.032664202153683
                        0                        0                    173.3                    86.36                    43.18          2.0845999717712       -0.032290045171976
                        0                        0                    173.3                    86.36                    43.18          2.0855000019073       -0.031923703849316
                        0                        0                    173.3                    86.36                    43.18          2.0864000320435       -0.031558934599161
                        0                        0                    173.3                    86.36                    43.18           2.087299823761       -0.031201971694827
                        0                        0                    173.3                    86.36                    43.18          2.0881998538971       -0.030848663300276
                        0                        0                    173.3                    86.36                    43.18          2.0890998840332        -0.03050316311419
                        0                        0                    173.3                    86.36                    43.18          2.0899999141693        -0.03016079030931
                        0                        0                    173.3                    86.36                    43.18          2.0908999443054       -0.029824150726199
                        0                        0                    173.3                    86.36                    43.18          2.0917999744415       -0.029494274407625
                        0                        0                    173.3                    86.36                    43.18          2.0927000045776       -0.029167007654905
                        0                        0                    173.3                    86.36                    43.18          2.0936000347137       -0.028847545385361
                        0                        0                    173.3                    86.36                    43.18          2.0944998264313       -0.028532769531012
                        0                        0                    173.3                    86.36                    43.18          2.0953998565674       -0.028222158551216
                        0                        0                    173.3                    86.36                    43.18          2.0962998867035       -0.027917273342609
                        0                        0                    173.3                    86.36                    43.18          2.0971999168396       -0.027618112042546
                        0                        0                    173.3                    86.36                    43.18          2.0980999469757       -0.027323115617037
                        0                        0                    173.3                    86.36                    43.18          2.0989999771118        -0.02703176625073
                        0                        0                    173.3                    86.36                    43.18          2.0999000072479       -0.026747696101665
                        0                        0                    173.3                    86.36                    43.18           2.100800037384       -0.026468828320503
                        0                        0                    173.3                    86.36                    43.18          2.1016998291016       -0.026194641366601
                        0                        0                    173.3                    86.36                    43.18          2.1025998592377       -0.025924619287252
                        0                        0                    173.3                    86.36                    43.18          2.1034998893738       -0.025659278035164
                        0                        0                    173.3                    86.36                    43.18          2.1043999195099       -0.025399655103683
                        0                        0                    173.3                    86.36                    43.18           2.105299949646       -0.025144714862108
                        0                        0                    173.3                    86.36                    43.18          2.1061999797821       -0.024895491078496
                        0                        0                    173.3                    86.36                    43.18          2.1071000099182       -0.024649910628796
                        0                        0                    173.3                    86.36                    43.18          2.1080000400543         -0.0244105681777
                        0                        0                    173.3                    86.36                    43.18          2.1088998317719       -0.024173827841878
                        0                        0                    173.3                    86.36                    43.18           2.109799861908       -0.023943319916725
                        0                        0                    173.3                    86.36                    43.18          2.1106998920441       -0.023719051852822
                        0                        0                    173.3                    86.36                    43.18          2.1115999221802         -0.0234963465482
                        0                        0                    173.3                    86.36                    43.18          2.1124999523163       -0.023279355838895
                        0                        0                    173.3                    86.36                    43.18          2.1133999824524        -0.02306860126555
                        0                        0                    173.3                    86.36                    43.18          2.1143000125885       -0.022860966622829
                        0                        0                    173.3                    86.36                    43.18          2.1152000427246       -0.022658005356789
                        0                        0                    173.3                    86.36                    43.18          2.1160998344421       -0.022460240870714
                        0                        0                    173.3                    86.36                    43.18          2.1169998645782       -0.022265596315265
                        0                        0                    173.3                    86.36                    43.18          2.1178998947144       -0.022076144814491
                        0                        0                    173.3                    86.36                    43.18          2.1187999248505       -0.021890850737691
                        0                        0                    173.3                    86.36                    43.18          2.1196999549866       -0.021711271256208
                        0                        0                    173.3                    86.36                    43.18          2.1205999851227       -0.021534806117415
                        0                        0                    173.3                    86.36                    43.18          2.1215000152588       -0.021364575251937
                        0                        0                    173.3                    86.36                    43.18          2.1224000453949       -0.021195903420448
                        0                        0                    173.3                    86.36                    43.18          2.1232998371124       -0.021033463999629
                        0                        0                    173.3                    86.36                    43.18          2.1241998672485       -0.020874656736851
                        0                        0                    173.3                    86.36                    43.18          2.1250998973846       -0.020720008760691
                        0                        0                    173.3                    86.36                    43.18          2.1259999275208       -0.020569510757923
                        0                        0                    173.3                    86.36                    43.18          2.1268999576569       -0.020423170179129
                        0                        0                    173.3                    86.36                    43.18           2.127799987793        -0.02028201892972
                        0                        0                    173.3                    86.36                    43.18          2.1287000179291       -0.020143466070294
                        0                        0                    173.3                    86.36                    43.18          2.1296000480652       -0.020010106265545
                        0                        0                    173.3                    86.36                    43.18          2.1304998397827        -0.01987985894084
                        0                        0                    173.3                    86.36                    43.18          2.1313998699188       -0.019753765314817
                        0                        0                    173.3                    86.36                    43.18          2.1322999000549       -0.019631825387478
                        0                        0                    173.3                    86.36                    43.18           2.133199930191       -0.019514037296176
                        0                        0                    173.3                    86.36                    43.18          2.1340999603271       -0.019400922581553
                        0                        0                    173.3                    86.36                    43.18          2.1349999904633       -0.019289884716272
                        0                        0                    173.3                    86.36                    43.18          2.1359000205994        -0.01918507181108
                        0                        0                    173.3                    86.36                    43.18          2.1368000507355       -0.019081819802523
                        0                        0                    173.3                    86.36                    43.18           2.137699842453       -0.018983755260706
                        0                        0                    173.3                    86.36                    43.18          2.1385998725891       -0.018888806924224
