                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                        0                    173.3                    86.36                    43.18                        2        -0.08761241286993
                        0                        0                    173.3                    86.36                    43.18          2.0009000301361       -0.086742758750916
                        0                        0                    173.3                    86.36                    43.18          2.0017998218536       -0.085875809192657
                        0                        0                    173.3                    86.36                    43.18          2.0027000904083       -0.085012085735798
                        0                        0                    173.3                    86.36                    43.18          2.0035998821259       -0.084150537848473
                        0                        0                    173.3                    86.36                    43.18           2.004499912262       -0.083294294774532
                        0                        0                    173.3                    86.36                    43.18          2.0053999423981       -0.082440756261349
                        0                        0                    173.3                    86.36                    43.18          2.0062999725342       -0.081589385867119
                        0                        0                    173.3                    86.36                    43.18          2.0072000026703       -0.080743849277496
                        0                        0                    173.3                    86.36                    43.18          2.0080997943878        -0.07990100979805
                        0                        0                    173.3                    86.36                    43.18          2.0089998245239       -0.079062961041927
                        0                        0                    173.3                    86.36                    43.18          2.0099000930786        -0.07822759449482
                        0                        0                    173.3                    86.36                    43.18          2.0107998847961       -0.077395968139172
                        0                        0                    173.3                    86.36                    43.18          2.0116999149323        -0.07657016813755
                        0                        0                    173.3                    86.36                    43.18          2.0125999450684       -0.075747579336166
                        0                        0                    173.3                    86.36                    43.18          2.0134999752045       -0.074928723275661
                        0                        0                    173.3                    86.36                    43.18          2.0144000053406       -0.074116215109825
                        0                        0                    173.3                    86.36                    43.18          2.0152997970581       -0.073305867612362
                        0                        0                    173.3                    86.36                    43.18          2.0161998271942       -0.072502374649048
                        0                        0                    173.3                    86.36                    43.18          2.0170998573303       -0.071701049804688
                        0                        0                    173.3                    86.36                    43.18          2.0179998874664       -0.070905543863773
                        0                        0                    173.3                    86.36                    43.18          2.0188999176025       -0.070115335285664
                        0                        0                    173.3                    86.36                    43.18          2.0197999477386       -0.069328315556049
                        0                        0                    173.3                    86.36                    43.18          2.0206999778748       -0.068547636270523
                        0                        0                    173.3                    86.36                    43.18          2.0216000080109       -0.067771725356579
                        0                        0                    173.3                    86.36                    43.18          2.0224997997284       -0.067000053822994
