                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                        0                    173.3                    86.36                    43.18                        2        -0.11913076043129
                        0                        0                    173.3                    86.36                    43.18          2.0009000301361        -0.11833614110947
                        0                        0                    173.3                    86.36                    43.18          2.0017998218536        -0.11754317581654
                        0                        0                    173.3                    86.36                    43.18          2.0027000904083        -0.11674974858761
                        0                        0                    173.3                    86.36                    43.18          2.0035998821259        -0.11595640331507
                        0                        0                    173.3                    86.36                    43.18           2.004499912262        -0.11516574770212
                        0                        0                    173.3                    86.36                    43.18          2.0053999423981        -0.11437464505434
                        0                        0                    173.3                    86.36                    43.18          2.0062999725342        -0.11358413845301
                        0                        0                    173.3                    86.36                    43.18          2.0072000026703        -0.11279684305191
                        0                        0                    173.3                    86.36                    43.18          2.0080997943878        -0.11201120167971
                        0                        0                    173.3                    86.36                    43.18          2.0089998245239        -0.11122614890337
                        0                        0                    173.3                    86.36                    43.18          2.0099000930786         -0.1104422211647
                        0                        0                    173.3                    86.36                    43.18          2.0107998847961        -0.10965941846371
                        0                        0                    173.3                    86.36                    43.18          2.0116999149323        -0.10888034105301
                        0                        0                    173.3                    86.36                    43.18          2.0125999450684        -0.10810133814812
                        0                        0                    173.3                    86.36                    43.18          2.0134999752045        -0.10732555389404
                        0                        0                    173.3                    86.36                    43.18          2.0144000053406        -0.10655245929956
                        0                        0                    173.3                    86.36                    43.18          2.0152997970581        -0.10578100383282
                        0                        0                    173.3                    86.36                    43.18          2.0161998271942        -0.10501065850258
                        0                        0                    173.3                    86.36                    43.18          2.0170998573303        -0.10424458235502
                        0                        0                    173.3                    86.36                    43.18          2.0179998874664        -0.10347962379456
                        0                        0                    173.3                    86.36                    43.18          2.0188999176025        -0.10271787643433
                        0                        0                    173.3                    86.36                    43.18          2.0197999477386         -0.1019598543644
                        0                        0                    173.3                    86.36                    43.18          2.0206999778748        -0.10120399296284
                        0                        0                    173.3                    86.36                    43.18          2.0216000080109        -0.10045029968023
                        0                        0                    173.3                    86.36                    43.18          2.0224997997284       -0.099700853228569
                        0                        0                    173.3                    86.36                    43.18          2.0233998298645       -0.098954625427723
                        0                        0                    173.3                    86.36                    43.18          2.0242998600006       -0.098208449780941
                        0                        0                    173.3                    86.36                    43.18          2.0251998901367        -0.09746915102005
                        0                        0                    173.3                    86.36                    43.18          2.0260999202728       -0.096730962395668
                        0                        0                    173.3                    86.36                    43.18          2.0269999504089       -0.095996491611004
                        0                        0                    173.3                    86.36                    43.18           2.027899980545       -0.095266282558441
                        0                        0                    173.3                    86.36                    43.18          2.0288000106812       -0.094539269804955
                        0                        0                    173.3                    86.36                    43.18          2.0296998023987       -0.093816511332989
                        0                        0                    173.3                    86.36                    43.18          2.0305998325348       -0.093095369637012
                        0                        0                    173.3                    86.36                    43.18          2.0314998626709       -0.092378482222557
                        0                        0                    173.3                    86.36                    43.18           2.032399892807       -0.091664791107178
                        0                        0                    173.3                    86.36                    43.18          2.0332999229431        -0.09095586836338
                        0                        0                    173.3                    86.36                    43.18          2.0341999530792       -0.090251192450523
                        0                        0                    173.3                    86.36                    43.18          2.0350999832153        -0.08954918384552
                        0                        0                    173.3                    86.36                    43.18          2.0360000133514        -0.08885245770216
                        0                        0                    173.3                    86.36                    43.18           2.036899805069       -0.088158406317234
                        0                        0                    173.3                    86.36                    43.18          2.0377998352051       -0.087469652295113
                        0                        0                    173.3                    86.36                    43.18          2.0386998653412       -0.086783550679684
                        0                        0                    173.3                    86.36                    43.18          2.0395998954773        -0.08610326051712
                        0                        0                    173.3                    86.36                    43.18          2.0404999256134       -0.085425637662411
                        0                        0                    173.3                    86.36                    43.18          2.0413999557495       -0.084751203656197
                        0                        0                    173.3                    86.36                    43.18          2.0422999858856       -0.084083095192909
                        0                        0                    173.3                    86.36                    43.18          2.0432000160217        -0.08341870456934
                        0                        0                    173.3                    86.36                    43.18          2.0440998077393        -0.08275905251503
                        0                        0                    173.3                    86.36                    43.18          2.0449998378754       -0.082102604210377
                        0                        0                    173.3                    86.36                    43.18          2.0458998680115       -0.081451423466206
                        0                        0                    173.3                    86.36                    43.18          2.0467998981476       -0.080804467201233
                        0                        0                    173.3                    86.36                    43.18          2.0476999282837        -0.08016175031662
                        0                        0                    173.3                    86.36                    43.18          2.0485999584198       -0.079523250460625
                        0                        0                    173.3                    86.36                    43.18          2.0494999885559       -0.078887939453125
                        0                        0                    173.3                    86.36                    43.18           2.050400018692       -0.078258946537971
                        0                        0                    173.3                    86.36                    43.18          2.0512998104095       -0.077634170651436
                        0                        0                    173.3                    86.36                    43.18          2.0521998405457       -0.077015705406666
                        0                        0                    173.3                    86.36                    43.18          2.0530998706818       -0.076400421559811
                        0                        0                    173.3                    86.36                    43.18          2.0539999008179       -0.075788840651512
                        0                        0                    173.3                    86.36                    43.18           2.054899930954       -0.075181476771832
                        0                        0                    173.3                    86.36                    43.18          2.0557999610901       -0.074579373002052
                        0                        0                    173.3                    86.36                    43.18          2.0566999912262       -0.073984108865261
                        0                        0                    173.3                    86.36                    43.18          2.0576000213623       -0.073391489684582
                        0                        0                    173.3                    86.36                    43.18          2.0584998130798       -0.072803094983101
                        0                        0                    173.3                    86.36                    43.18          2.0593998432159       -0.072219952940941
                        0                        0                    173.3                    86.36                    43.18          2.0602998733521       -0.071643114089966
                        0                        0                    173.3                    86.36                    43.18          2.0611999034882       -0.071068398654461
                        0                        0                    173.3                    86.36                    43.18          2.0620999336243       -0.070500515401363
                        0                        0                    173.3                    86.36                    43.18          2.0629999637604       -0.069935791194439
                        0                        0                    173.3                    86.36                    43.18          2.0638999938965       -0.069376856088638
                        0                        0                    173.3                    86.36                    43.18          2.0648000240326       -0.068823166191578
                        0                        0                    173.3                    86.36                    43.18          2.0656998157501       -0.068273164331913
                        0                        0                    173.3                    86.36                    43.18          2.0665998458862       -0.067728936672211
                        0                        0                    173.3                    86.36                    43.18          2.0674998760223       -0.067187875509262
                        0                        0                    173.3                    86.36                    43.18          2.0683999061584        -0.06665363162756
                        0                        0                    173.3                    86.36                    43.18          2.0692999362946       -0.066122032701969
                        0                        0                    173.3                    86.36                    43.18          2.0701999664307       -0.065597236156464
                        0                        0                    173.3                    86.36                    43.18          2.0710999965668       -0.065076135098934
