                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                        0                    173.3                    86.36                    43.18                        2        -0.11206888407469
                        0                        0                    173.3                    86.36                    43.18          2.0009000301361        -0.11132159084082
                        0                        0                    173.3                    86.36                    43.18          2.0017998218536         -0.1105759292841
                        0                        0                    173.3                    86.36                    43.18          2.0027000904083        -0.10982875525951
                        0                        0                    173.3                    86.36                    43.18          2.0035998821259        -0.10908375680447
                        0                        0                    173.3                    86.36                    43.18           2.004499912262        -0.10833933204412
                        0                        0                    173.3                    86.36                    43.18          2.0053999423981        -0.10759602487087
                        0                        0                    173.3                    86.36                    43.18          2.0062999725342        -0.10685330629349
                        0                        0                    173.3                    86.36                    43.18          2.0072000026703         -0.1061127409339
                        0                        0                    173.3                    86.36                    43.18          2.0080997943878        -0.10537329316139
                        0                        0                    173.3                    86.36                    43.18          2.0089998245239         -0.1046349555254
                        0                        0                    173.3                    86.36                    43.18          2.0099000930786        -0.10389825701714
                        0                        0                    173.3                    86.36                    43.18          2.0107998847961        -0.10316370427608
                        0                        0                    173.3                    86.36                    43.18          2.0116999149323        -0.10243026912212
                        0                        0                    173.3                    86.36                    43.18          2.0125999450684        -0.10169899463654
                        0                        0                    173.3                    86.36                    43.18          2.0134999752045        -0.10097090899944
                        0                        0                    173.3                    86.36                    43.18          2.0144000053406        -0.10024446994066
                        0                        0                    173.3                    86.36                    43.18          2.0152997970581       -0.099520176649094
                        0                        0                    173.3                    86.36                    43.18          2.0161998271942       -0.098798051476479
                        0                        0                    173.3                    86.36                    43.18          2.0170998573303        -0.09807913005352
                        0                        0                    173.3                    86.36                    43.18          2.0179998874664       -0.097361296415329
                        0                        0                    173.3                    86.36                    43.18          2.0188999176025       -0.096647724509239
                        0                        0                    173.3                    86.36                    43.18          2.0197999477386       -0.095936298370361
                        0                        0                    173.3                    86.36                    43.18          2.0206999778748       -0.095227025449276
                        0                        0                    173.3                    86.36                    43.18          2.0216000080109       -0.094520956277847
                        0                        0                    173.3                    86.36                    43.18          2.0224997997284       -0.093818075954914
                        0                        0                    173.3                    86.36                    43.18          2.0233998298645       -0.093118399381638
                        0                        0                    173.3                    86.36                    43.18          2.0242998600006       -0.092422433197498
                        0                        0                    173.3                    86.36                    43.18          2.0251998901367       -0.091729149222374
                        0                        0                    173.3                    86.36                    43.18          2.0260999202728       -0.091039575636387
                        0                        0                    173.3                    86.36                    43.18          2.0269999504089       -0.090352676808834
                        0                        0                    173.3                    86.36                    43.18           2.027899980545       -0.089668966829777
                        0                        0                    173.3                    86.36                    43.18          2.0288000106812       -0.088990025222301
                        0                        0                    173.3                    86.36                    43.18          2.0296998023987       -0.088312171399593
                        0                        0                    173.3                    86.36                    43.18          2.0305998325348       -0.087639607489109
                        0                        0                    173.3                    86.36                    43.18          2.0314998626709       -0.086970239877701
                        0                        0                    173.3                    86.36                    43.18           2.032399892807       -0.086305096745491
                        0                        0                    173.3                    86.36                    43.18          2.0332999229431       -0.085643664002419
                        0                        0                    173.3                    86.36                    43.18          2.0341999530792       -0.084985941648483
                        0                        0                    173.3                    86.36                    43.18          2.0350999832153       -0.084332980215549
                        0                        0                    173.3                    86.36                    43.18          2.0360000133514       -0.083682157099247
                        0                        0                    173.3                    86.36                    43.18           2.036899805069       -0.083037652075291
                        0                        0                    173.3                    86.36                    43.18          2.0377998352051       -0.082395285367966
                        0                        0                    173.3                    86.36                    43.18          2.0386998653412       -0.081756629049778
                        0                        0                    173.3                    86.36                    43.18          2.0395998954773        -0.08112271130085
                        0                        0                    173.3                    86.36                    43.18          2.0404999256134       -0.080494076013565
                        0                        0                    173.3                    86.36                    43.18          2.0413999557495       -0.079868100583553
                        0                        0                    173.3                    86.36                    43.18          2.0422999858856       -0.079246863722801
                        0                        0                    173.3                    86.36                    43.18          2.0432000160217       -0.078629858791828
                        0                        0                    173.3                    86.36                    43.18          2.0440998077393       -0.078017592430115
                        0                        0                    173.3                    86.36                    43.18          2.0449998378754         -0.0774095505476
                        0                        0                    173.3                    86.36                    43.18          2.0458998680115       -0.076805211603642
                        0                        0                    173.3                    86.36                    43.18          2.0467998981476       -0.076206132769585
                        0                        0                    173.3                    86.36                    43.18          2.0476999282837       -0.075610227882862
                        0                        0                    173.3                    86.36                    43.18          2.0485999584198       -0.075020112097263
                        0                        0                    173.3                    86.36                    43.18          2.0494999885559       -0.074434734880924
                        0                        0                    173.3                    86.36                    43.18           2.050400018692       -0.073852531611919
                        0                        0                    173.3                    86.36                    43.18          2.0512998104095       -0.073276624083519
                        0                        0                    173.3                    86.36                    43.18          2.0521998405457       -0.072703376412392
                        0                        0                    173.3                    86.36                    43.18          2.0530998706818       -0.072136946022511
                        0                        0                    173.3                    86.36                    43.18          2.0539999008179       -0.071572124958038
                        0                        0                    173.3                    86.36                    43.18           2.054899930954       -0.071012549102306
                        0                        0                    173.3                    86.36                    43.18          2.0557999610901       -0.070459276437759
                        0                        0                    173.3                    86.36                    43.18          2.0566999912262       -0.069909699261189
                        0                        0                    173.3                    86.36                    43.18          2.0576000213623       -0.069364845752716
                        0                        0                    173.3                    86.36                    43.18          2.0584998130798        -0.06882368773222
                        0                        0                    173.3                    86.36                    43.18          2.0593998432159       -0.068288296461105
                        0                        0                    173.3                    86.36                    43.18          2.0602998733521       -0.067758157849312
                        0                        0                    173.3                    86.36                    43.18          2.0611999034882       -0.067231707274914
                        0                        0                    173.3                    86.36                    43.18          2.0620999336243       -0.066709458827972
                        0                        0                    173.3                    86.36                    43.18          2.0629999637604        -0.06619506329298
                        0                        0                    173.3                    86.36                    43.18          2.0638999938965       -0.065681226551533
                        0                        0                    173.3                    86.36                    43.18          2.0648000240326       -0.065176799893379
                        0                        0                    173.3                    86.36                    43.18          2.0656998157501       -0.064672410488129
                        0                        0                    173.3                    86.36                    43.18          2.0665998458862       -0.064174316823483
                        0                        0                    173.3                    86.36                    43.18          2.0674998760223       -0.063683018088341
                        0                        0                    173.3                    86.36                    43.18          2.0683999061584       -0.063193835318089
                        0                        0                    173.3                    86.36                    43.18          2.0692999362946        -0.06271094083786
                        0                        0                    173.3                    86.36                    43.18          2.0701999664307        -0.06223276630044
                        0                        0                    173.3                    86.36                    43.18          2.0710999965668       -0.061759833246469
                        0                        0                    173.3                    86.36                    43.18          2.0720000267029       -0.061290048062801
                        0                        0                    173.3                    86.36                    43.18          2.0728998184204       -0.060825504362583
                        0                        0                    173.3                    86.36                    43.18          2.0737998485565       -0.060366727411747
                        0                        0                    173.3                    86.36                    43.18          2.0746998786926        -0.05991318076849
                        0                        0                    173.3                    86.36                    43.18          2.0755999088287       -0.059462785720825
                        0                        0                    173.3                    86.36                    43.18          2.0764999389648       -0.059018149971962
                        0                        0                    173.3                    86.36                    43.18           2.077399969101       -0.058577179908752
                        0                        0                    173.3                    86.36                    43.18          2.0782999992371       -0.058141455054283
                        0                        0                    173.3                    86.36                    43.18          2.0792000293732       -0.057710953056812
                        0                        0                    173.3                    86.36                    43.18          2.0800998210907       -0.057285167276859
                        0                        0                    173.3                    86.36                    43.18          2.0809998512268       -0.056864615529776
                        0                        0                    173.3                    86.36                    43.18          2.0818998813629       -0.056448247283697
                        0                        0                    173.3                    86.36                    43.18           2.082799911499       -0.056035552173853
                        0                        0                    173.3                    86.36                    43.18          2.0836999416351       -0.055628605186939
                        0                        0                    173.3                    86.36                    43.18          2.0845999717712       -0.055227410048246
                        0                        0                    173.3                    86.36                    43.18          2.0855000019073       -0.054829359054565
                        0                        0                    173.3                    86.36                    43.18          2.0864000320435       -0.054436534643173
                        0                        0                    173.3                    86.36                    43.18           2.087299823761        -0.05404893681407
                        0                        0                    173.3                    86.36                    43.18          2.0881998538971        -0.05366500839591
                        0                        0                    173.3                    86.36                    43.18          2.0890998840332       -0.053286299109459
                        0                        0                    173.3                    86.36                    43.18          2.0899999141693       -0.052912823855877
                        0                        0                    173.3                    86.36                    43.18          2.0908999443054       -0.052542481571436
                        0                        0                    173.3                    86.36                    43.18          2.0917999744415       -0.052177887409925
                        0                        0                    173.3                    86.36                    43.18          2.0927000045776        -0.05181747674942
                        0                        0                    173.3                    86.36                    43.18          2.0936000347137       -0.051460720598698
                        0                        0                    173.3                    86.36                    43.18          2.0944998264313       -0.051111273467541
                        0                        0                    173.3                    86.36                    43.18          2.0953998565674       -0.050764441490173
                        0                        0                    173.3                    86.36                    43.18          2.0962998867035       -0.050422839820385
                        0                        0                    173.3                    86.36                    43.18          2.0971999168396       -0.050084888935089
                        0                        0                    173.3                    86.36                    43.18          2.0980999469757       -0.049753196537495
                        0                        0                    173.3                    86.36                    43.18          2.0989999771118       -0.049423608928919
                        0                        0                    173.3                    86.36                    43.18          2.0999000072479       -0.049101315438747
                        0                        0                    173.3                    86.36                    43.18           2.100800037384       -0.048781637102365
                        0                        0                    173.3                    86.36                    43.18          2.1016998291016       -0.048466138541698
                        0                        0                    173.3                    86.36                    43.18          2.1025998592377       -0.048156380653381
                        0                        0                    173.3                    86.36                    43.18          2.1034998893738       -0.047850795090199
                        0                        0                    173.3                    86.36                    43.18          2.1043999195099       -0.047547820955515
                        0                        0                    173.3                    86.36                    43.18           2.105299949646       -0.047251626849175
                        0                        0                    173.3                    86.36                    43.18          2.1061999797821       -0.046958565711975
                        0                        0                    173.3                    86.36                    43.18          2.1071000099182       -0.046670198440552
                        0                        0                    173.3                    86.36                    43.18          2.1080000400543        -0.04638496786356
                        0                        0                    173.3                    86.36                    43.18          2.1088998317719       -0.046104945242405
                        0                        0                    173.3                    86.36                    43.18           2.109799861908        -0.04583065956831
                        0                        0                    173.3                    86.36                    43.18          2.1106998920441       -0.045558981597424
                        0                        0                    173.3                    86.36                    43.18          2.1115999221802       -0.045292001217604
                        0                        0                    173.3                    86.36                    43.18          2.1124999523163       -0.045028667896986
                        0                        0                    173.3                    86.36                    43.18          2.1133999824524       -0.044770032167435
                        0                        0                    173.3                    86.36                    43.18          2.1143000125885       -0.044516082853079
                        0                        0                    173.3                    86.36                    43.18          2.1152000427246       -0.044264741241932
                        0                        0                    173.3                    86.36                    43.18          2.1160998344421       -0.044021215289831
                        0                        0                    173.3                    86.36                    43.18          2.1169998645782       -0.043778214603662
                        0                        0                    173.3                    86.36                    43.18          2.1178998947144       -0.043539386242628
                        0                        0                    173.3                    86.36                    43.18          2.1187999248505       -0.043306801468134
                        0                        0                    173.3                    86.36                    43.18          2.1196999549866       -0.043076310306787
                        0                        0                    173.3                    86.36                    43.18          2.1205999851227       -0.042849984019995
                        0                        0                    173.3                    86.36                    43.18          2.1215000152588        -0.04262886941433
                        0                        0                    173.3                    86.36                    43.18          2.1224000453949       -0.042410362511873
                        0                        0                    173.3                    86.36                    43.18          2.1232998371124       -0.042197577655315
                        0                        0                    173.3                    86.36                    43.18          2.1241998672485       -0.041984803974628
                        0                        0                    173.3                    86.36                    43.18          2.1250998973846       -0.041779838502407
                        0                        0                    173.3                    86.36                    43.18          2.1259999275208       -0.041577994823456
                        0                        0                    173.3                    86.36                    43.18          2.1268999576569       -0.041379798203707
                        0                        0                    173.3                    86.36                    43.18           2.127799987793       -0.041184727102518
                        0                        0                    173.3                    86.36                    43.18          2.1287000179291       -0.040994867682457
                        0                        0                    173.3                    86.36                    43.18          2.1296000480652       -0.040808130055666
                        0                        0                    173.3                    86.36                    43.18          2.1304998397827       -0.040624514222145
                        0                        0                    173.3                    86.36                    43.18          2.1313998699188       -0.040444023907185
                        0                        0                    173.3                    86.36                    43.18          2.1322999000549       -0.040269263088703
                        0                        0                    173.3                    86.36                    43.18           2.133199930191        -0.04009710252285
                        0                        0                    173.3                    86.36                    43.18          2.1340999603271       -0.039928067475557
                        0                        0                    173.3                    86.36                    43.18          2.1349999904633       -0.039763193577528
                        0                        0                    173.3                    86.36                    43.18          2.1359000205994       -0.039601445198059
                        0                        0                    173.3                    86.36                    43.18          2.1368000507355       -0.039443340152502
                        0                        0                    173.3                    86.36                    43.18           2.137699842453       -0.039290964603424
                        0                        0                    173.3                    86.36                    43.18          2.1385998725891       -0.039138063788414
                        0                        0                    173.3                    86.36                    43.18          2.1394999027252       -0.038991406559944
                        0                        0                    173.3                    86.36                    43.18          2.1403999328613       -0.038847357034683
                        0                        0                    173.3                    86.36                    43.18          2.1412999629974       -0.038707986474037
                        0                        0                    173.3                    86.36                    43.18          2.1421999931335       -0.038569658994675
                        0                        0                    173.3                    86.36                    43.18          2.1431000232697       -0.038437053561211
                        0                        0                    173.3                    86.36                    43.18          2.1440000534058       -0.038307573646307
                        0                        0                    173.3                    86.36                    43.18          2.1448998451233       -0.038179650902748
                        0                        0                    173.3                    86.36                    43.18          2.1457998752594       -0.038056928664446
                        0                        0                    173.3                    86.36                    43.18          2.1466999053955       -0.037936292588711
                        0                        0                    173.3                    86.36                    43.18           2.147599697113       -0.037819299846888
                        0                        0                    173.3                    86.36                    43.18          2.1484999656677       -0.037704382091761
                        0                        0                    173.3                    86.36                    43.18          2.1493999958038       -0.037594147026539
                        0                        0                    173.3                    86.36                    43.18          2.1502997875214       -0.037487037479877
