                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                        0                    173.3                    86.36                    43.18                        2         0.22412103414536
                        0                        0                    173.3                    86.36                    43.18          2.0009000301361         0.22279500961304
                        0                        0                    173.3                    86.36                    43.18          2.0017998218536         0.22148090600967
                        0                        0                    173.3                    86.36                    43.18          2.0027000904083         0.22017873823643
                        0                        0                    173.3                    86.36                    43.18          2.0035998821259         0.21888545155525
                        0                        0                    173.3                    86.36                    43.18           2.004499912262         0.21760305762291
                        0                        0                    173.3                    86.36                    43.18          2.0053999423981         0.21633161604404
                        0                        0                    173.3                    86.36                    43.18          2.0062999725342         0.21506905555725
                        0                        0                    173.3                    86.36                    43.18          2.0072000026703         0.21381540596485
                        0                        0                    173.3                    86.36                    43.18          2.0080997943878         0.21256865561008
                        0                        0                    173.3                    86.36                    43.18          2.0089998245239          0.2113348543644
                        0                        0                    173.3                    86.36                    43.18          2.0099000930786          0.2101069688797
                        0                        0                    173.3                    86.36                    43.18          2.0107998847961         0.20888897776604
                        0                        0                    173.3                    86.36                    43.18          2.0116999149323         0.20768097043037
                        0                        0                    173.3                    86.36                    43.18          2.0125999450684          0.2064768075943
                        0                        0                    173.3                    86.36                    43.18          2.0134999752045         0.20528158545494
                        0                        0                    173.3                    86.36                    43.18          2.0144000053406         0.20409429073334
                        0                        0                    173.3                    86.36                    43.18          2.0152997970581         0.20291492342949
                        0                        0                    173.3                    86.36                    43.18          2.0161998271942         0.20174147188663
                        0                        0                    173.3                    86.36                    43.18          2.0170998573303         0.20057393610477
                        0                        0                    173.3                    86.36                    43.18          2.0179998874664         0.19941432774067
                        0                        0                    173.3                    86.36                    43.18          2.0188999176025         0.19826166331768
                        0                        0                    173.3                    86.36                    43.18          2.0197999477386         0.19711491465569
                        0                        0                    173.3                    86.36                    43.18          2.0206999778748         0.19597408175468
                        0                        0                    173.3                    86.36                    43.18          2.0216000080109         0.19483916461468
                        0                        0                    173.3                    86.36                    43.18          2.0224997997284         0.19371019303799
                        0                        0                    173.3                    86.36                    43.18          2.0233998298645         0.19258713722229
                        0                        0                    173.3                    86.36                    43.18          2.0242998600006         0.19146800041199
                        0                        0                    173.3                    86.36                    43.18          2.0251998901367         0.19035579264164
                        0                        0                    173.3                    86.36                    43.18          2.0260999202728         0.18924751877785
                        0                        0                    173.3                    86.36                    43.18          2.0269999504089         0.18814617395401
                        0                        0                    173.3                    86.36                    43.18           2.027899980545         0.18704673647881
                        0                        0                    173.3                    86.36                    43.18          2.0288000106812         0.18595322966576
                        0                        0                    173.3                    86.36                    43.18          2.0296998023987         0.18486467003822
                        0                        0                    173.3                    86.36                    43.18          2.0305998325348         0.18378201127052
                        0                        0                    173.3                    86.36                    43.18          2.0314998626709         0.18270027637482
                        0                        0                    173.3                    86.36                    43.18           2.032399892807         0.18162447214127
                        0                        0                    173.3                    86.36                    43.18          2.0332999229431         0.18055260181427
                        0                        0                    173.3                    86.36                    43.18          2.0341999530792         0.17948566377163
                        0                        0                    173.3                    86.36                    43.18          2.0350999832153         0.17842164635658
                        0                        0                    173.3                    86.36                    43.18          2.0360000133514         0.17736053466797
                        0                        0                    173.3                    86.36                    43.18           2.036899805069         0.17630332708359
                        0                        0                    173.3                    86.36                    43.18          2.0377998352051         0.17524906992912
                        0                        0                    173.3                    86.36                    43.18          2.0386998653412         0.17419975996017
                        0                        0                    173.3                    86.36                    43.18          2.0395998954773          0.1731533408165
                        0                        0                    173.3                    86.36                    43.18          2.0404999256134         0.17210987210274
                        0                        0                    173.3                    86.36                    43.18          2.0413999557495         0.17106929421425
                        0                        0                    173.3                    86.36                    43.18          2.0422999858856         0.17003062367439
                        0                        0                    173.3                    86.36                    43.18          2.0432000160217         0.16899591684341
                        0                        0                    173.3                    86.36                    43.18          2.0440998077393         0.16796514391899
                        0                        0                    173.3                    86.36                    43.18          2.0449998378754          0.1669362783432
                        0                        0                    173.3                    86.36                    43.18          2.0458998680115         0.16590930521488
                        0                        0                    173.3                    86.36                    43.18          2.0467998981476         0.16488525271416
                        0                        0                    173.3                    86.36                    43.18          2.0476999282837         0.16386416554451
                        0                        0                    173.3                    86.36                    43.18          2.0485999584198         0.16284495592117
                        0                        0                    173.3                    86.36                    43.18          2.0494999885559         0.16182869672775
                        0                        0                    173.3                    86.36                    43.18           2.050400018692         0.16081434488297
                        0                        0                    173.3                    86.36                    43.18          2.0512998104095         0.15980191528797
                        0                        0                    173.3                    86.36                    43.18          2.0521998405457         0.15879240632057
                        0                        0                    173.3                    86.36                    43.18          2.0530998706818         0.15778379142284
                        0                        0                    173.3                    86.36                    43.18          2.0539999008179         0.15677711367607
                        0                        0                    173.3                    86.36                    43.18           2.054899930954         0.15577334165573
                        0                        0                    173.3                    86.36                    43.18          2.0557999610901         0.15477253496647
                        0                        0                    173.3                    86.36                    43.18          2.0566999912262         0.15377262234688
                        0                        0                    173.3                    86.36                    43.18          2.0576000213623          0.1527735888958
                        0                        0                    173.3                    86.36                    43.18          2.0584998130798         0.15177650749683
                        0                        0                    173.3                    86.36                    43.18          2.0593998432159         0.15078234672546
                        0                        0                    173.3                    86.36                    43.18          2.0602998733521         0.14979010820389
                        0                        0                    173.3                    86.36                    43.18          2.0611999034882         0.14879776537418
                        0                        0                    173.3                    86.36                    43.18          2.0620999336243         0.14780732989311
                        0                        0                    173.3                    86.36                    43.18          2.0629999637604         0.14681984484196
                        0                        0                    173.3                    86.36                    43.18          2.0638999938965         0.14583326876163
                        0                        0                    173.3                    86.36                    43.18          2.0648000240326         0.14484760165215
                        0                        0                    173.3                    86.36                    43.18          2.0656998157501         0.14386384189129
                        0                        0                    173.3                    86.36                    43.18          2.0665998458862         0.14288100600243
                        0                        0                    173.3                    86.36                    43.18          2.0674998760223          0.1418990790844
                        0                        0                    173.3                    86.36                    43.18          2.0683999061584         0.14091907441616
                        0                        0                    173.3                    86.36                    43.18          2.0692999362946         0.13994099199772
                        0                        0                    173.3                    86.36                    43.18          2.0701999664307         0.13896381855011
                        0                        0                    173.3                    86.36                    43.18          2.0710999965668         0.13798755407333
                        0                        0                    173.3                    86.36                    43.18          2.0720000267029         0.13701221346855
                        0                        0                    173.3                    86.36                    43.18          2.0728998184204          0.1360387802124
                        0                        0                    173.3                    86.36                    43.18          2.0737998485565         0.13506831228733
                        0                        0                    173.3                    86.36                    43.18          2.0746998786926         0.13409671187401
                        0                        0                    173.3                    86.36                    43.18          2.0755999088287         0.13312500715256
                        0                        0                    173.3                    86.36                    43.18          2.0764999389648         0.13215726613998
                        0                        0                    173.3                    86.36                    43.18           2.077399969101         0.13118940591812
                        0                        0                    173.3                    86.36                    43.18          2.0782999992371         0.13022246956825
                        0                        0                    173.3                    86.36                    43.18          2.0792000293732         0.12925747036934
                        0                        0                    173.3                    86.36                    43.18          2.0800998210907         0.12829133868217
                        0                        0                    173.3                    86.36                    43.18          2.0809998512268         0.12732817232609
                        0                        0                    173.3                    86.36                    43.18          2.0818998813629          0.1263669282198
                        0                        0                    173.3                    86.36                    43.18           2.082799911499         0.12540456652641
                        0                        0                    173.3                    86.36                    43.18          2.0836999416351         0.12444412708282
                        0                        0                    173.3                    86.36                    43.18          2.0845999717712         0.12348459661007
                        0                        0                    173.3                    86.36                    43.18          2.0855000019073         0.12252599745989
                        0                        0                    173.3                    86.36                    43.18          2.0864000320435         0.12157034873962
                        0                        0                    173.3                    86.36                    43.18           2.087299823761         0.12061153352261
                        0                        0                    173.3                    86.36                    43.18          2.0881998538971          0.1196556687355
                        0                        0                    173.3                    86.36                    43.18          2.0890998840332          0.1187037974596
                        0                        0                    173.3                    86.36                    43.18          2.0899999141693         0.11774875223637
                        0                        0                    173.3                    86.36                    43.18          2.0908999443054          0.1167956367135
                        0                        0                    173.3                    86.36                    43.18          2.0917999744415         0.11584446579218
                        0                        0                    173.3                    86.36                    43.18          2.0927000045776         0.11489421874285
                        0                        0                    173.3                    86.36                    43.18          2.0936000347137         0.11394385993481
                        0                        0                    173.3                    86.36                    43.18          2.0944998264313          0.1129954457283
                        0                        0                    173.3                    86.36                    43.18          2.0953998565674         0.11204794794321
                        0                        0                    173.3                    86.36                    43.18          2.0962998867035         0.11109932512045
                        0                        0                    173.3                    86.36                    43.18          2.0971999168396         0.11015468090773
                        0                        0                    173.3                    86.36                    43.18          2.0980999469757         0.10921097546816
                        0                        0                    173.3                    86.36                    43.18          2.0989999771118          0.1082671508193
                        0                        0                    173.3                    86.36                    43.18          2.0999000072479         0.10732425749302
                        0                        0                    173.3                    86.36                    43.18           2.100800037384         0.10638125240803
                        0                        0                    173.3                    86.36                    43.18          2.1016998291016         0.10544121265411
                        0                        0                    173.3                    86.36                    43.18          2.1025998592377         0.10450106859207
                        0                        0                    173.3                    86.36                    43.18          2.1034998893738         0.10356186330318
                        0                        0                    173.3                    86.36                    43.18          2.1043999195099         0.10262458771467
                        0                        0                    173.3                    86.36                    43.18           2.105299949646         0.10168722271919
                        0                        0                    173.3                    86.36                    43.18          2.1061999797821         0.10075178742409
                        0                        0                    173.3                    86.36                    43.18          2.1071000099182        0.099816255271435
                        0                        0                    173.3                    86.36                    43.18          2.1080000400543        0.098883703351021
                        0                        0                    173.3                    86.36                    43.18          2.1088998317719        0.097951054573059
                        0                        0                    173.3                    86.36                    43.18           2.109799861908         0.09701931476593
                        0                        0                    173.3                    86.36                    43.18          2.1106998920441        0.096089534461498
                        0                        0                    173.3                    86.36                    43.18          2.1115999221802        0.095159642398357
                        0                        0                    173.3                    86.36                    43.18          2.1124999523163        0.094231709837914
                        0                        0                    173.3                    86.36                    43.18          2.1133999824524        0.093304701149464
                        0                        0                    173.3                    86.36                    43.18          2.1143000125885        0.092378616333008
                        0                        0                    173.3                    86.36                    43.18          2.1152000427246        0.091453455388546
                        0                        0                    173.3                    86.36                    43.18          2.1160998344421        0.090531267225742
                        0                        0                    173.3                    86.36                    43.18          2.1169998645782         0.08960796892643
                        0                        0                    173.3                    86.36                    43.18          2.1178998947144        0.088686607778072
                        0                        0                    173.3                    86.36                    43.18          2.1187999248505        0.087767206132412
                        0                        0                    173.3                    86.36                    43.18          2.1196999549866        0.086847707629204
                        0                        0                    173.3                    86.36                    43.18          2.1205999851227        0.085930161178112
                        0                        0                    173.3                    86.36                    43.18          2.1215000152588        0.085014566779137
                        0                        0                    173.3                    86.36                    43.18          2.1224000453949        0.084099911153316
                        0                        0                    173.3                    86.36                    43.18          2.1232998371124        0.083187192678452
                        0                        0                    173.3                    86.36                    43.18          2.1241998672485        0.082273371517658
                        0                        0                    173.3                    86.36                    43.18          2.1250998973846        0.081363543868065
                        0                        0                    173.3                    86.36                    43.18          2.1259999275208        0.080453619360924
                        0                        0                    173.3                    86.36                    43.18          2.1268999576569        0.079544633626938
                        0                        0                    173.3                    86.36                    43.18           2.127799987793        0.078638635575771
                        0                        0                    173.3                    86.36                    43.18          2.1287000179291        0.077733561396599
                        0                        0                    173.3                    86.36                    43.18          2.1296000480652        0.076829418540001
                        0                        0                    173.3                    86.36                    43.18          2.1304998397827          0.0759272351861
                        0                        0                    173.3                    86.36                    43.18          2.1313998699188        0.075025990605354
                        0                        0                    173.3                    86.36                    43.18          2.1322999000549        0.074126698076725
                        0                        0                    173.3                    86.36                    43.18           2.133199930191        0.073227316141129
                        0                        0                    173.3                    86.36                    43.18          2.1340999603271        0.072330921888351
                        0                        0                    173.3                    86.36                    43.18          2.1349999904633        0.071436479687691
                        0                        0                    173.3                    86.36                    43.18          2.1359000205994        0.070542983710766
                        0                        0                    173.3                    86.36                    43.18          2.1368000507355        0.069651447236538
                        0                        0                    173.3                    86.36                    43.18           2.137699842453        0.068761870265007
                        0                        0                    173.3                    86.36                    43.18          2.1385998725891        0.067873239517212
                        0                        0                    173.3                    86.36                    43.18          2.1394999027252        0.066986560821533
                        0                        0                    173.3                    86.36                    43.18          2.1403999328613        0.066099800169468
                        0                        0                    173.3                    86.36                    43.18          2.1412999629974        0.065217055380344
                        0                        0                    173.3                    86.36                    43.18          2.1421999931335        0.064334221184254
                        0                        0                    173.3                    86.36                    43.18          2.1431000232697        0.063455410301685
                        0                        0                    173.3                    86.36                    43.18          2.1440000534058         0.06257651001215
                        0                        0                    173.3                    86.36                    43.18          2.1448998451233        0.061701633036137
                        0                        0                    173.3                    86.36                    43.18          2.1457998752594        0.060826670378447
                        0                        0                    173.3                    86.36                    43.18          2.1466999053955        0.059953670948744
                        0                        0                    173.3                    86.36                    43.18           2.147599697113        0.059082642197609
                        0                        0                    173.3                    86.36                    43.18          2.1484999656677         0.05821255967021
                        0                        0                    173.3                    86.36                    43.18          2.1493999958038        0.057346500456333
                        0                        0                    173.3                    86.36                    43.18          2.1502997875214        0.056480351835489
                        0                        0                    173.3                    86.36                    43.18           2.151200056076        0.055616177618504
                        0                        0                    173.3                    86.36                    43.18          2.1521000862122        0.054755005985498
                        0                        0                    173.3                    86.36                    43.18          2.1529998779297        0.053894776850939
                        0                        0                    173.3                    86.36                    43.18          2.1538999080658        0.053038578480482
                        0                        0                    173.3                    86.36                    43.18          2.1548001766205        0.052183322608471
                        0                        0                    173.3                    86.36                    43.18           2.155699968338        0.051331073045731
                        0                        0                    173.3                    86.36                    43.18          2.1565999984741        0.050477713346481
                        0                        0                    173.3                    86.36                    43.18          2.1574997901917        0.049629412591457
                        0                        0                    173.3                    86.36                    43.18          2.1583998203278        0.048783089965582
                        0                        0                    173.3                    86.36                    43.18          2.1593000888824        0.047937713563442
                        0                        0                    173.3                    86.36                    43.18             2.1601998806        0.047096379101276
                        0                        0                    173.3                    86.36                    43.18          2.1610999107361        0.046253927052021
                        0                        0                    173.3                    86.36                    43.18          2.1619997024536        0.045417577028275
                        0                        0                    173.3                    86.36                    43.18          2.1628999710083        0.044580116868019
                        0                        0                    173.3                    86.36                    43.18          2.1638000011444        0.043748751282692
                        0                        0                    173.3                    86.36                    43.18          2.1646997928619        0.042915251106024
                        0                        0                    173.3                    86.36                    43.18           2.165599822998        0.042087849229574
                        0                        0                    173.3                    86.36                    43.18          2.1665000915527        0.041261404752731
                        0                        0                    173.3                    86.36                    43.18          2.1673998832703        0.040436942130327
                        0                        0                    173.3                    86.36                    43.18          2.1682999134064        0.039613429456949
                        0                        0                    173.3                    86.36                    43.18          2.1692001819611        0.038794994354248
                        0                        0                    173.3                    86.36                    43.18          2.1700999736786        0.037976481020451
                        0                        0                    173.3                    86.36                    43.18          2.1710000038147         0.03716304525733
                        0                        0                    173.3                    86.36                    43.18          2.1718997955322        0.036351595073938
                        0                        0                    173.3                    86.36                    43.18          2.1727998256683        0.035541102290154
                        0                        0                    173.3                    86.36                    43.18           2.173700094223        0.034734658896923
                        0                        0                    173.3                    86.36                    43.18          2.1745998859406        0.033930201083422
                        0                        0                    173.3                    86.36                    43.18          2.1754999160767         0.03312773257494
                        0                        0                    173.3                    86.36                    43.18          2.1763997077942        0.032329320907593
                        0                        0                    173.3                    86.36                    43.18          2.1772999763489        0.031532891094685
                        0                        0                    173.3                    86.36                    43.18           2.178200006485        0.030738458037376
                        0                        0                    173.3                    86.36                    43.18          2.1790997982025          0.0299470461905
                        0                        0                    173.3                    86.36                    43.18          2.1799998283386        0.029158657416701
                        0                        0                    173.3                    86.36                    43.18          2.1809000968933        0.028373293578625
                        0                        0                    173.3                    86.36                    43.18          2.1817998886108        0.027589924633503
                        0                        0                    173.3                    86.36                    43.18          2.1826999187469        0.026808548718691
