                    alpha                        L                       Lg                        b                        a          Frequency / GHz                    Value

                        0                      100                    173.3                    86.36                    43.18                        2         -7.3048276901245
                        0                      100                    173.3                    86.36                    43.18          2.0009000301361         -7.3142600059509
                        0                      100                    173.3                    86.36                    43.18          2.0017998218536         -7.3236298561096
                        0                      100                    173.3                    86.36                    43.18          2.0027000904083         -7.3329410552979
                        0                      100                    173.3                    86.36                    43.18          2.0035998821259          -7.342191696167
                        0                      100                    173.3                    86.36                    43.18           2.004499912262         -7.3513836860657
                        0                      100                    173.3                    86.36                    43.18          2.0053999423981         -7.3605155944824
                        0                      100                    173.3                    86.36                    43.18          2.0062999725342         -7.3695859909058
                        0                      100                    173.3                    86.36                    43.18          2.0072000026703         -7.3786001205444
                        0                      100                    173.3                    86.36                    43.18          2.0080997943878         -7.3875527381897
                        0                      100                    173.3                    86.36                    43.18          2.0089998245239         -7.3964462280273
                        0                      100                    173.3                    86.36                    43.18          2.0099000930786         -7.4052815437317
                        0                      100                    173.3                    86.36                    43.18          2.0107998847961         -7.4140572547913
                        0                      100                    173.3                    86.36                    43.18          2.0116999149323         -7.4227738380432
                        0                      100                    173.3                    86.36                    43.18          2.0125999450684         -7.4314317703247
                        0                      100                    173.3                    86.36                    43.18          2.0134999752045         -7.4400300979614
                        0                      100                    173.3                    86.36                    43.18          2.0144000053406         -7.4485692977905
                        0                      100                    173.3                    86.36                    43.18          2.0152997970581         -7.4570503234863
                        0                      100                    173.3                    86.36                    43.18          2.0161998271942         -7.4654703140259
                        0                      100                    173.3                    86.36                    43.18          2.0170998573303         -7.4738306999207
                        0                      100                    173.3                    86.36                    43.18          2.0179998874664         -7.4821333885193
                        0                      100                    173.3                    86.36                    43.18          2.0188999176025         -7.4903755187988
                        0                      100                    173.3                    86.36                    43.18          2.0197999477386         -7.4985580444336
                        0                      100                    173.3                    86.36                    43.18          2.0206999778748         -7.5066804885864
                        0                      100                    173.3                    86.36                    43.18          2.0216000080109         -7.5147433280945
                        0                      100                    173.3                    86.36                    43.18          2.0224997997284         -7.5227451324463
                        0                      100                    173.3                    86.36                    43.18          2.0233998298645         -7.5306849479675
                        0                      100                    173.3                    86.36                    43.18          2.0242998600006         -7.5385661125183
                        0                      100                    173.3                    86.36                    43.18          2.0251998901367         -7.5463848114014
                        0                      100                    173.3                    86.36                    43.18          2.0260999202728         -7.5541429519653
                        0                      100                    173.3                    86.36                    43.18          2.0269999504089          -7.561840057373
                        0                      100                    173.3                    86.36                    43.18           2.027899980545         -7.5694751739502
                        0                      100                    173.3                    86.36                    43.18          2.0288000106812         -7.5770473480225
                        0                      100                    173.3                    86.36                    43.18          2.0296998023987         -7.5845575332642
                        0                      100                    173.3                    86.36                    43.18          2.0305998325348         -7.5920062065125
                        0                      100                    173.3                    86.36                    43.18          2.0314998626709         -7.5993919372559
                        0                      100                    173.3                    86.36                    43.18           2.032399892807         -7.6067137718201
                        0                      100                    173.3                    86.36                    43.18          2.0332999229431         -7.6139712333679
                        0                      100                    173.3                    86.36                    43.18          2.0341999530792         -7.6211671829224
                        0                      100                    173.3                    86.36                    43.18          2.0350999832153         -7.6282978057861
                        0                      100                    173.3                    86.36                    43.18          2.0360000133514         -7.6353650093079
                        0                      100                    173.3                    86.36                    43.18           2.036899805069         -7.6423673629761
                        0                      100                    173.3                    86.36                    43.18          2.0377998352051         -7.6493048667908
                        0                      100                    173.3                    86.36                    43.18          2.0386998653412         -7.6561765670776
                        0                      100                    173.3                    86.36                    43.18          2.0395998954773          -7.662983417511
                        0                      100                    173.3                    86.36                    43.18          2.0404999256134         -7.6697254180908
                        0                      100                    173.3                    86.36                    43.18          2.0413999557495         -7.6764016151428
                        0                      100                    173.3                    86.36                    43.18          2.0422999858856         -7.6830110549927
                        0                      100                    173.3                    86.36                    43.18          2.0432000160217         -7.6895527839661
                        0                      100                    173.3                    86.36                    43.18          2.0440998077393         -7.6960306167603
                        0                      100                    173.3                    86.36                    43.18          2.0449998378754         -7.7024402618408
                        0                      100                    173.3                    86.36                    43.18          2.0458998680115         -7.7087836265564
                        0                      100                    173.3                    86.36                    43.18          2.0467998981476         -7.7150592803955
                        0                      100                    173.3                    86.36                    43.18          2.0476999282837         -7.7212672233582
                        0                      100                    173.3                    86.36                    43.18          2.0485999584198         -7.7274079322815
                        0                      100                    173.3                    86.36                    43.18          2.0494999885559         -7.7334809303284
                        0                      100                    173.3                    86.36                    43.18           2.050400018692         -7.7394862174988
                        0                      100                    173.3                    86.36                    43.18          2.0512998104095         -7.7454228401184
                        0                      100                    173.3                    86.36                    43.18          2.0521998405457         -7.7512907981873
