        Frequency / GHz                S2,1/abs,dB
----------------------------------------------------------------------
                       1                      -42.556745
               1.0039999                      -42.696095
                   1.008                      -42.840764
                   1.012                      -42.991367
               1.0159999                      -43.148631
                    1.02                      -43.313433
               1.0239999                      -43.486837
                   1.028                      -43.670168
               1.0319999                      -43.865067
                   1.036                      -44.073611
                    1.04                      -44.298473
                   1.044                      -44.543158
                   1.048                      -44.812373
               1.0519999                      -45.112648
                   1.056                      -45.453409
               1.0599999                      -45.848973
                   1.064                      -46.322674
                   1.068                      -46.916548
                   1.072                      -47.718937
                   1.076                       -48.97517
               1.0799999                      -52.167508
                   1.084                      -50.364491
               1.0879999                      -48.452225
                   1.092                      -47.464363
                   1.096                      -46.797092
                     1.1                      -46.294407
                   1.104                      -45.892053
               1.1079999                      -45.557212
                   1.112                       -45.27082
               1.1159999                      -45.020787
                    1.12                      -44.798944
                   1.124                      -44.599505
                   1.128                      -44.418214
                   1.132                      -44.251842
               1.1359999                      -44.097892
                    1.14                      -43.954399
               1.1439999                      -43.819795
                   1.148                       -43.69283
                   1.152                      -43.572497
                   1.156                      -43.457989
                    1.16                      -43.348669
               1.1639999                      -43.244027
                   1.168                      -43.143672
               1.1719999                      -43.047296
                   1.176                      -42.954664
               1.1799999                      -42.865585
                   1.184                       -42.77991
                   1.188                      -42.697505
               1.1919999                      -42.618239
                   1.196                      -42.541973
               1.1999999                      -42.468552
                   1.204                      -42.397789
               1.2079999                      -42.329466
                   1.212                      -42.263326
                   1.216                      -42.199074
               1.2199999                      -42.136383
                   1.224                      -42.074891
               1.2279999                      -42.014222
                   1.232                      -41.953992
               1.2359999                      -41.893814
                    1.24                      -41.833326
                   1.244                      -41.772201
               1.2479999                      -41.710163
                   1.252                      -41.647003
               1.2559999                      -41.582589
                    1.26                      -41.516876
               1.2639999                      -41.449911
                   1.268                      -41.381832
                   1.272                      -41.312862
                   1.276                      -41.243303
                    1.28                      -41.173513
               1.2839999                      -41.103896
                   1.288                      -41.034875
               1.2919999                      -40.966868
                   1.296                      -40.900265
                     1.3                      -40.835403
                   1.304                      -40.772536
                   1.308                       -40.71183
               1.3119999                      -40.653325
                   1.316                      -40.596935
               1.3199999                      -40.542432
                   1.324                      -40.489451
               1.3279999                      -40.437489
                   1.332                       -40.38592
                   1.336                      -40.334015
               1.3399999                      -40.280972
                   1.344                      -40.225952
               1.3479999                      -40.168125
                   1.352                      -40.106712
               1.3559999                      -40.041048
                    1.36                       -39.97061
                   1.364                      -39.895079
               1.3679999                      -39.814365
                   1.372                      -39.728627
               1.3759999                      -39.638277
                    1.38                      -39.543972
               1.3839999                      -39.446589
                   1.388                      -39.347174
                   1.392                      -39.246902
               1.3959999                      -39.147011
                     1.4                      -39.048738
               1.4039999                      -38.953257
                   1.408                      -38.861613
               1.4119999                      -38.774664
                   1.416                      -38.693024
                    1.42                      -38.617015
               1.4239999                      -38.546625
                   1.428                      -38.481478
               1.4319999                        -38.4208
                   1.436                      -38.363426
               1.4399999                      -38.307797
                   1.444                         -38.252
                   1.448                      -38.193824
               1.4519999                      -38.130859
                   1.456                      -38.060618
               1.4599999                      -37.980698
                   1.464                       -37.88896
               1.4679999                      -37.783706
                   1.472                      -37.663853
                   1.476                      -37.529068
               1.4799999                      -37.379841
                   1.484                      -37.217484
               1.4879999                      -37.044082
                   1.492                      -36.862359
               1.4959999                      -36.675516
                     1.5                      -36.487043
               1.5039999                      -36.300534
                   1.508                      -36.119503
                   1.512                      -35.947238
               1.5159999                      -35.786669
                    1.52                      -35.640238
               1.5239999                      -35.509815
                   1.528                      -35.396585
               1.5319999                      -35.300937
                   1.536                       -35.22234
                    1.54                      -35.159202
               1.5439999                      -35.108708
                   1.548                      -35.066669
               1.5519999                      -35.027401
                   1.556                      -34.983706
               1.5599999                      -34.927027
                   1.564                      -34.847839
                   1.568                      -34.736394
               1.5719999                      -34.583739
                   1.576                       -34.38294
               1.5799999                      -34.130216
                   1.584                      -33.825685
               1.5879999                      -33.473501
                   1.592                      -33.081307
                   1.596                      -32.659247
               1.5999999                      -32.218767
                   1.604                      -31.771556
               1.6079999                      -31.328755
                   1.612                      -30.900495
               1.6159999                      -30.495738
                    1.62                      -30.122298
                   1.624                      -29.786984
               1.6279999                       -29.49579
                   1.632                      -29.254068
               1.6359999                      -29.066641
                    1.64                      -28.937801
               1.6439999                      -28.871101
                   1.648                      -28.868789
                   1.652                       -28.93062
               1.6559999                      -29.051559
                    1.66                      -29.217662
               1.6639999                      -29.399327
                   1.668                      -29.542128
               1.6719999                      -29.559537
                   1.676                      -29.340339
               1.6799999                      -28.785825
               1.6839999                      -27.864458
                   1.688                      -26.632054
               1.6919999                      -25.193413
                   1.696                      -23.648969
               1.6999999                      -22.068307
                   1.704                      -20.489282
               1.7079999                      -18.926069
               1.7119999                      -17.376165
                   1.716                       -15.82321
               1.7199999                      -14.233816
                   1.724                      -12.542387
               1.7279999                      -10.594408
                   1.732                      -7.8155453
               1.7359999                      -4.8057926
                    1.74                      -7.3556787
                   1.744                      -7.8500575
               1.7479999                      -7.9163653
                   1.752                      -7.8073071
               1.7559999                      -7.6113818
                    1.76                      -7.3694792
               1.7639999                      -7.1035079
                   1.768                      -6.8263528
                   1.772                      -6.5460787
               1.7759999                      -6.2679516
                    1.78                      -5.9955206
               1.7839999                      -5.7312303
                   1.788                      -5.4767802
               1.7919999                       -5.233363
                   1.796                      -5.0018047
                     1.8                      -4.7826675
               1.8039999                      -4.5763217
                   1.808                      -4.3829823
               1.8119999                      -4.2027538
                   1.816                      -4.0356451
               1.8199999                      -3.8815903
                   1.824                      -3.7404533
               1.8279999                      -3.6120478
               1.8319999                      -3.4961296
                   1.836                      -3.3924087
               1.8399999                      -3.3005475
                   1.844                      -3.2201625
               1.8479999                      -3.1508215
                   1.852                      -3.0920482
               1.8559999                      -3.0433145
               1.8599999                      -3.0040505
                   1.864                      -2.9736288
               1.8679999                      -2.9513791
                   1.872                      -2.9365839
               1.8759999                      -2.9284716
                    1.88                      -2.9262382
               1.8839999                       -2.929033
               1.8879999                      -2.9359801
                   1.892                      -2.9461808
               1.8959999                      -2.9587214
                     1.9                       -2.972695
               1.9039999                      -2.9872101
                   1.908                      -3.0014063
               1.9119999                      -3.0144756
               1.9159999                      -3.0256798
                    1.92                      -3.0343653
               1.9239999                      -3.0399806
                   1.928                      -3.0420896
               1.9319999                      -3.0403795
                   1.936                      -3.0346685
               1.9399999                      -3.0249112
               1.9439999                      -3.0111883
                   1.948                       -2.993704
               1.9519999                      -2.9727745
                   1.956                      -2.9488111
               1.9599999                       -2.922304
                   1.964                      -2.8938033
               1.9679999                      -2.8638994
                   1.972                       -2.833198
                   1.976                      -2.8023081
               1.9799999                      -2.7718256
                   1.984                      -2.7423089
               1.9879999                      -2.7142733
                   1.992                      -2.6881777
               1.9959999                      -2.6644144
                       2                      -2.6433038
               2.0039999                      -2.6250896
               2.0079999                      -2.6099373
               2.0119998                      -2.5979331
                   2.016                      -2.5890806
                    2.02                      -2.5833117
               2.0239999                      -2.5804839
               2.0279999                      -2.5803839
               2.0319998                      -2.5827427
                   2.036                      -2.5872347
                    2.04                      -2.5934949
               2.0439999                      -2.6011189
               2.0479999                      -2.6096879
                   2.052                       -2.618764
                   2.056                      -2.6279145
               2.0599999                      -2.6367243
               2.0639999                      -2.6448018
