S03\cc-22.wav 	 S02 
S04\cc-18.wav 	 S06 
S04\cc-19.wav 	 S06 
S04\cc-20.wav 	 S06 
S04\cc-21.wav 	 S06 
S04\cc-22.wav 	 S06 
S04\cc-23.wav 	 S06 
S04\cc-24.wav 	 S06 
S04\cc-25.wav 	 S06 
S04\cc-26.wav 	 S06 
S04\cc-28.wav 	 S06 
S04\cc-29.wav 	 S06 
S04\cc-30.wav 	 S06 
S04\cc-32.wav 	 S06 
S04\cc-33.wav 	 S06 
S04\cc-34.wav 	 S06 
S04\cc-35.wav 	 S06 
S04\cc-36.wav 	 S06 
S04\cc-37.wav 	 S06 
S04\cc-39.wav 	 S06 
S05\sentence1.wav 	 S02 
S05\sentence10.wav 	 S06 
S05\sentence100.wav 	 S02 
S05\sentence101.wav 	 S02 
S05\sentence102.wav 	 S06 
S05\sentence103.wav 	 S06 
S05\sentence104.wav 	 S02 
S05\sentence105.wav 	 S02 
S05\sentence106.wav 	 S06 
S05\sentence107.wav 	 S02 
S05\sentence108.wav 	 S02 
S05\sentence109.wav 	 S02 
S05\sentence11.wav 	 S06 
S05\sentence110.wav 	 S06 
S05\sentence111.wav 	 S02 
S05\sentence112.wav 	 S02 
S05\sentence113.wav 	 S02 
S05\sentence114.wav 	 S06 
S05\sentence115.wav 	 S02 
S05\sentence116.wav 	 S06 
S05\sentence117.wav 	 S06 
S05\sentence118.wav 	 S02 
S05\sentence119.wav 	 S02 
S05\sentence12.wav 	 S06 
S05\sentence120.wav 	 S06 
S05\sentence121.wav 	 S02 
S05\sentence122.wav 	 S02 
S05\sentence123.wav 	 S06 
S05\sentence124.wav 	 S02 
S05\sentence125.wav 	 S06 
S05\sentence126.wav 	 S06 
S05\sentence127.wav 	 S06 
S05\sentence128.wav 	 S02 
S05\sentence129.wav 	 S02 
S05\sentence13.wav 	 S06 
S05\sentence130.wav 	 S06 
S05\sentence131.wav 	 S02 
S05\sentence132.wav 	 S02 
S05\sentence133.wav 	 S02 
S05\sentence134.wav 	 S02 
S05\sentence135.wav 	 S02 
S05\sentence136.wav 	 S02 
S05\sentence137.wav 	 S02 
S05\sentence138.wav 	 S02 
S05\sentence139.wav 	 S02 
S05\sentence14.wav 	 S06 
S05\sentence140.wav 	 S02 
S05\sentence141.wav 	 S02 
S05\sentence142.wav 	 S02 
S05\sentence143.wav 	 S02 
S05\sentence144.wav 	 S06 
S05\sentence145.wav 	 S06 
S05\sentence146.wav 	 S02 
S05\sentence147.wav 	 S06 
S05\sentence148.wav 	 S02 
S05\sentence149.wav 	 S02 
S05\sentence15.wav 	 S02 
S05\sentence150.wav 	 S06 
S05\sentence151.wav 	 S02 
S05\sentence152.wav 	 S02 
S05\sentence153.wav 	 S02 
S05\sentence154.wav 	 S02 
S05\sentence155.wav 	 S06 
S05\sentence156.wav 	 S02 
S05\sentence157.wav 	 S06 
S05\sentence158.wav 	 S06 
S05\sentence159.wav 	 S06 
S05\sentence16.wav 	 S02 
S05\sentence160.wav 	 S06 
S05\sentence161.wav 	 S02 
S05\sentence162.wav 	 S06 
S05\sentence163.wav 	 S06 
S05\sentence164.wav 	 S02 
S05\sentence165.wav 	 S06 
S05\sentence166.wav 	 S02 
S05\sentence167.wav 	 S02 
S05\sentence168.wav 	 S06 
S05\sentence169.wav 	 S02 
S05\sentence17.wav 	 S02 
S05\sentence170.wav 	 S02 
S05\sentence171.wav 	 S02 
S05\sentence172.wav 	 S02 
S05\sentence173.wav 	 S02 
S05\sentence174.wav 	 S02 
S05\sentence175.wav 	 S02 
S05\sentence176.wav 	 S02 
S05\sentence177.wav 	 S06 
S05\sentence178.wav 	 S06 
S05\sentence179.wav 	 S02 
S05\sentence18.wav 	 S06 
S05\sentence180.wav 	 S06 
S05\sentence181.wav 	 S02 
S05\sentence182.wav 	 S02 
S05\sentence183.wav 	 S02 
S05\sentence184.wav 	 S02 
S05\sentence185.wav 	 S02 
S05\sentence186.wav 	 S02 
S05\sentence187.wav 	 S02 
S05\sentence188.wav 	 S02 
S05\sentence189.wav 	 S02 
S05\sentence19.wav 	 S02 
S05\sentence190.wav 	 S02 
S05\sentence191.wav 	 S02 
S05\sentence192.wav 	 S02 
S05\sentence193.wav 	 S02 
S05\sentence194.wav 	 S02 
S05\sentence195.wav 	 S02 
S05\sentence196.wav 	 S02 
S05\sentence197.wav 	 S02 
S05\sentence198.wav 	 S02 
S05\sentence199.wav 	 S02 
S05\sentence2.wav 	 S02 
S05\sentence20.wav 	 S02 
S05\sentence200.wav 	 S02 
S05\sentence201.wav 	 S02 
S05\sentence202.wav 	 S02 
S05\sentence203.wav 	 S02 
S05\sentence204.wav 	 S02 
S05\sentence205.wav 	 S02 
S05\sentence206.wav 	 S02 
S05\sentence207.wav 	 S02 
S05\sentence208.wav 	 S02 
S05\sentence209.wav 	 S02 
S05\sentence21.wav 	 S02 
S05\sentence210.wav 	 S02 
S05\sentence211.wav 	 S02 
S05\sentence212.wav 	 S02 
S05\sentence213.wav 	 S02 
S05\sentence214.wav 	 S02 
S05\sentence215.wav 	 S02 
S05\sentence216.wav 	 S02 
S05\sentence217.wav 	 S02 
S05\sentence218.wav 	 S02 
S05\sentence219.wav 	 S02 
S05\sentence22.wav 	 S06 
S05\sentence220.wav 	 S02 
S05\sentence221.wav 	 S02 
S05\sentence222.wav 	 S02 
S05\sentence223.wav 	 S02 
S05\sentence224.wav 	 S02 
S05\sentence225.wav 	 S02 
S05\sentence226.wav 	 S02 
S05\sentence227.wav 	 S02 
S05\sentence228.wav 	 S02 
S05\sentence229.wav 	 S02 
S05\sentence23.wav 	 S02 
S05\sentence230.wav 	 S02 
S05\sentence231.wav 	 S02 
S05\sentence232.wav 	 S02 
S05\sentence233.wav 	 S02 
S05\sentence234.wav 	 S02 
S05\sentence235.wav 	 S02 
S05\sentence236.wav 	 S02 
S05\sentence237.wav 	 S02 
S05\sentence238.wav 	 S02 
S05\sentence239.wav 	 S02 
S05\sentence24.wav 	 S02 
S05\sentence240.wav 	 S02 
S05\sentence241.wav 	 S02 
S05\sentence242.wav 	 S02 
S05\sentence243.wav 	 S02 
S05\sentence244.wav 	 S02 
S05\sentence245.wav 	 S02 
S05\sentence246.wav 	 S02 
S05\sentence247.wav 	 S02 
S05\sentence248.wav 	 S02 
S05\sentence249.wav 	 S02 
S05\sentence25.wav 	 S06 
S05\sentence250.wav 	 S02 
S05\sentence251.wav 	 S02 
S05\sentence252.wav 	 S02 
S05\sentence253.wav 	 S02 
S05\sentence254.wav 	 S02 
S05\sentence255.wav 	 S02 
S05\sentence256.wav 	 S02 
S05\sentence257.wav 	 S02 
S05\sentence258.wav 	 S02 
S05\sentence259.wav 	 S02 
S05\sentence26.wav 	 S02 
S05\sentence260.wav 	 S02 
S05\sentence261.wav 	 S02 
S05\sentence262.wav 	 S02 
S05\sentence263.wav 	 S02 
S05\sentence264.wav 	 S02 
S05\sentence265.wav 	 S02 
S05\sentence266.wav 	 S02 
S05\sentence267.wav 	 S02 
S05\sentence268.wav 	 S02 
S05\sentence269.wav 	 S02 
S05\sentence27.wav 	 S06 
S05\sentence270.wav 	 S02 
S05\sentence271.wav 	 S02 
S05\sentence272.wav 	 S02 
S05\sentence273.wav 	 S02 
S05\sentence274.wav 	 S02 
S05\sentence275.wav 	 S02 
S05\sentence276.wav 	 S02 
S05\sentence277.wav 	 S02 
S05\sentence278.wav 	 S02 
S05\sentence279.wav 	 S02 
S05\sentence28.wav 	 S02 
S05\sentence280.wav 	 S02 
S05\sentence281.wav 	 S02 
S05\sentence282.wav 	 S02 
S05\sentence283.wav 	 S02 
S05\sentence284.wav 	 S02 
S05\sentence285.wav 	 S02 
S05\sentence286.wav 	 S02 
S05\sentence287.wav 	 S02 
S05\sentence288.wav 	 S02 
S05\sentence289.wav 	 S02 
S05\sentence29.wav 	 S02 
S05\sentence290.wav 	 S02 
S05\sentence291.wav 	 S02 
S05\sentence292.wav 	 S02 
S05\sentence293.wav 	 S02 
S05\sentence294.wav 	 S02 
S05\sentence295.wav 	 S02 
S05\sentence296.wav 	 S02 
S05\sentence297.wav 	 S02 
S05\sentence298.wav 	 S02 
S05\sentence299.wav 	 S02 
S05\sentence3.wav 	 S02 
S05\sentence30.wav 	 S06 
S05\sentence300.wav 	 S02 
S05\sentence31.wav 	 S02 
S05\sentence32.wav 	 S06 
S05\sentence33.wav 	 S02 
S05\sentence34.wav 	 S02 
S05\sentence35.wav 	 S02 
S05\sentence36.wav 	 S06 
S05\sentence37.wav 	 S02 
S05\sentence38.wav 	 S06 
S05\sentence39.wav 	 S06 
S05\sentence4.wav 	 S02 
S05\sentence40.wav 	 S06 
S05\sentence41.wav 	 S06 
S05\sentence42.wav 	 S06 
S05\sentence43.wav 	 S06 
S05\sentence44.wav 	 S06 
S05\sentence45.wav 	 S06 
S05\sentence46.wav 	 S02 
S05\sentence47.wav 	 S02 
S05\sentence48.wav 	 S02 
S05\sentence49.wav 	 S02 
S05\sentence5.wav 	 S06 
S05\sentence50.wav 	 S02 
S05\sentence51.wav 	 S02 
S05\sentence52.wav 	 S02 
S05\sentence53.wav 	 S02 
S05\sentence54.wav 	 S02 
S05\sentence55.wav 	 S06 
S05\sentence56.wav 	 S02 
S05\sentence57.wav 	 S02 
S05\sentence58.wav 	 S02 
S05\sentence59.wav 	 S06 
S05\sentence6.wav 	 S02 
S05\sentence60.wav 	 S02 
S05\sentence61.wav 	 S06 
S05\sentence62.wav 	 S02 
S05\sentence63.wav 	 S02 
S05\sentence64.wav 	 S02 
S05\sentence65.wav 	 S06 
S05\sentence66.wav 	 S02 
S05\sentence67.wav 	 S02 
S05\sentence68.wav 	 S02 
S05\sentence69.wav 	 S06 
S05\sentence7.wav 	 S02 
S05\sentence70.wav 	 S06 
S05\sentence71.wav 	 S02 
S05\sentence72.wav 	 S06 
S05\sentence73.wav 	 S02 
S05\sentence74.wav 	 S02 
S05\sentence75.wav 	 S02 
S05\sentence76.wav 	 S02 
S05\sentence77.wav 	 S06 
S05\sentence78.wav 	 S02 
S05\sentence79.wav 	 S02 
S05\sentence8.wav 	 S02 
S05\sentence80.wav 	 S02 
S05\sentence81.wav 	 S02 
S05\sentence82.wav 	 S06 
S05\sentence83.wav 	 S02 
S05\sentence84.wav 	 S06 
S05\sentence85.wav 	 S02 
S05\sentence86.wav 	 S02 
S05\sentence87.wav 	 S02 
S05\sentence88.wav 	 S02 
S05\sentence89.wav 	 S02 
S05\sentence9.wav 	 S06 
S05\sentence90.wav 	 S02 
S05\sentence91.wav 	 S02 
S05\sentence92.wav 	 S02 
S05\sentence93.wav 	 S02 
S05\sentence94.wav 	 S02 
S05\sentence95.wav 	 S02 
S05\sentence96.wav 	 S02 
S05\sentence97.wav 	 S02 
S05\sentence98.wav 	 S06 
S05\sentence99.wav 	 S02 
